# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084823_sorted.bam" "SRR13084834_sorted.bam" "SRR13084828_sorted.bam" "SRR13084824_sorted.bam" "SRR13084817_sorted.bam" "SRR13084830_sorted.bam" "SRR13084837_sorted.bam" "SRR13084827_sorted.bam" "SRR13084821_sorted.bam" "SRR13084833_sorted.bam" "SRR13084822_sorted.bam" "SRR13084820_sorted.bam" "SRR13084838_sorted.bam" "SRR13084835_sorted.bam" "SRR13084818_sorted.bam" "SRR13084825_sorted.bam" "SRR13084839_sorted.bam" "SRR13084831_sorted.bam" "SRR13084832_sorted.bam" "SRR13084819_sorted.bam" "SRR13084840_sorted.bam" "SRR13084836_sorted.bam" "SRR13084826_sorted.bam" "SRR13084829_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084823_sorted.bam	SRR13084834_sorted.bam	SRR13084828_sorted.bam	SRR13084824_sorted.bam	SRR13084817_sorted.bam	SRR13084830_sorted.bam	SRR13084837_sorted.bam	SRR13084827_sorted.bam	SRR13084821_sorted.bam	SRR13084833_sorted.bam	SRR13084822_sorted.bam	SRR13084820_sorted.bam	SRR13084838_sorted.bam	SRR13084835_sorted.bam	SRR13084818_sorted.bam	SRR13084825_sorted.bam	SRR13084839_sorted.bam	SRR13084831_sorted.bam	SRR13084832_sorted.bam	SRR13084819_sorted.bam	SRR13084840_sorted.bam	SRR13084836_sorted.bam	SRR13084826_sorted.bam	SRR13084829_sorted.bam
gene-b0011	U00096.3	10643	11356	-	714	103	36	38	57	74	57	51	19	38	35	17	29	50	75	97	49	19	47	56	37	59	73	40	54
gene-b0012	U00096.3	10830	11315	+	486	74	32	20	37	58	42	41	14	23	22	9	23	39	58	65	38	14	35	39	23	36	55	27	37
gene-b0013	U00096.3	11382	11786	-	405	30	16	16	24	36	20	22	15	15	17	10	18	29	32	28	15	6	24	28	11	18	39	19	29
gene-b0014	U00096.3	12163	14079	+	1917	37702	17754	12500	20335	24594	15991	21869	6447	10940	10559	12632	6950	10789	29004	28369	19074	11076	17316	9192	11840	23253	19236	12097	23858
gene-b0015	U00096.3	14168	15298	+	1131	3735	1203	965	3058	2929	2346	3135	736	1252	1053	877	1122	1450	3006	4145	3269	1171	2836	1470	1965	2099	2759	1691	2625
gene-b0016	U00096.3	15445	16557	+	1113	1027	241	200	910	864	647	855	177	327	211	191	324	527	740	1093	836	268	644	492	592	351	769	616	640
gene-b0018	U00096.3	16751	16960	-	210	163	58	43	94	166	135	161	55	81	65	35	77	143	149	136	87	74	114	120	76	66	146	139	141
gene-b4412	U00096.3	16751	16903	-	153	149	53	40	92	157	125	149	53	74	62	32	61	128	134	123	82	72	108	109	73	61	134	132	136
gene-b4413	U00096.3	16952	17010	+	59	57	14	20	27	62	40	69	13	35	19	24	34	55	60	41	31	18	33	53	27	20	60	46	45
gene-b0019	U00096.3	17489	18655	+	1167	2935	567	592	2673	3113	1886	2085	555	827	580	504	875	1447	2256	3103	1842	673	1737	1404	1367	1122	2358	1666	2220
gene-b0020	U00096.3	18715	19620	+	906	1501	347	344	1381	1325	1104	1093	243	381	282	270	435	730	1292	1586	912	338	816	614	641	532	1356	798	1201
gene-b0021	U00096.3	19811	20314	-	504	361	51	65	371	276	261	305	74	99	91	47	135	199	242	469	324	62	267	170	206	123	354	230	242
gene-b0022	U00096.3	20233	20508	-	276	173	33	30	241	107	174	199	38	60	47	25	77	180	134	286	220	43	176	133	147	61	319	155	103
gene-b0023	U00096.3	20815	21078	-	264	62031	11842	7479	49134	44047	72736	88601	12847	19075	14905	7309	36573	80705	58922	70899	61979	15816	70323	73053	52566	10836	100867	70480	58735
gene-b0024	U00096.3	21181	21399	+	219	3323	1114	760	2368	2466	6022	5171	755	1185	1202	610	1400	9015	3894	3424	2894	1155	3505	8122	2249	822	11078	3260	3590
gene-b0025	U00096.3	21407	22348	+	942	9216	2392	1832	6479	8502	5360	5927	2262	3628	2867	1777	3004	5007	8034	7500	4810	3340	5137	4766	3636	2964	5827	5311	8120
gene-b0026	U00096.3	22391	25207	+	2817	38929	8094	7019	31248	35502	19409	23003	8868	13582	9971	6613	12190	14702	31989	36640	23951	12311	20783	12799	14841	12757	19317	20836	31108
gene-b0027	U00096.3	25207	25701	+	495	7030	1587	1359	5558	7151	4695	5234	1586	2430	1857	1325	2247	3433	5933	6583	4554	2194	4340	3039	3148	2213	4614	3937	6082
gene-b0028	U00096.3	25826	26275	+	450	4292	753	635	3981	3944	2829	3467	790	1223	932	619	1301	1722	3776	4482	3249	1096	2894	1404	2068	1201	2553	2387	3436
gene-b0029	U00096.3	26277	27227	+	951	5824	989	915	5574	5658	3665	5002	1223	1673	1160	881	2005	2191	4731	6648	5105	1392	4129	1982	3328	1508	3646	3369	4603
gene-b0030	U00096.3	27293	28207	+	915	382	78	90	423	286	312	434	94	153	112	52	147	185	274	587	476	87	381	168	268	132	292	237	276
gene-b0031	U00096.3	28374	29195	+	822	7310	1928	1379	4669	6693	3751	4613	1258	1952	1637	1348	1801	2667	6693	5555	3302	1905	3674	2600	2765	1993	4155	3095	6426
gene-b0032	U00096.3	29651	30799	+	1149	19899	13059	11766	5895	18125	6472	1048	26203	41302	28513	11501	14662	19990	21148	7262	882	29597	1525	22905	548	16035	5350	20835	24874
gene-b0033	U00096.3	30817	34038	+	3222	62624	41465	37898	34749	54818	39247	11790	68774	108464	75708	39905	21697	27845	58393	46667	9135	79337	12710	35642	6452	54095	29966	27801	62911
gene-b0034	U00096.3	34300	34695	+	396	510	378	355	247	397	425	192	397	653	459	310	74	191	486	368	140	429	191	303	107	401	467	102	464
gene-b0035	U00096.3	34781	35371	-	591	171	72	74	140	132	123	96	64	128	93	60	38	78	151	154	97	77	96	98	71	119	170	62	151
gene-b0036	U00096.3	35377	36162	-	786	129	30	37	107	86	92	107	40	59	57	27	34	41	80	147	100	51	89	43	56	62	98	53	80
gene-b0037	U00096.3	36271	37824	-	1554	281	88	102	160	212	189	169	65	138	115	69	73	149	268	253	127	100	168	179	100	155	249	133	213
gene-b0038	U00096.3	37898	39115	-	1218	257	67	90	171	205	197	201	85	131	125	51	91	146	260	246	160	87	161	139	92	124	172	124	245
gene-b0039	U00096.3	39244	40386	-	1143	443	153	124	298	400	309	409	131	254	173	116	204	343	475	375	223	234	349	316	198	195	332	324	498
gene-b0040	U00096.3	40417	41931	-	1515	70	22	31	16	25	14	19	13	28	20	12	21	33	44	56	17	12	15	27	10	82	26	16	30
gene-b0041	U00096.3	42403	43173	+	771	54	17	18	18	24	19	26	6	19	16	9	14	32	24	44	18	10	13	20	14	44	31	13	27
gene-b0042	U00096.3	43188	44129	+	942	91	15	30	31	53	33	36	15	28	26	13	23	32	67	78	38	17	33	33	31	41	37	21	70
gene-b0043	U00096.3	44180	45466	+	1287	132	18	48	35	64	36	63	26	38	23	19	41	35	64	83	35	17	38	48	27	91	31	31	57
gene-b0044	U00096.3	45463	45750	+	288	22	3	14	9	13	7	14	8	12	11	7	11	19	17	24	12	5	8	19	6	22	7	4	18
gene-b0045	U00096.3	45807	47138	+	1332	85	16	43	38	40	29	27	19	32	36	11	31	45	43	98	31	16	34	43	20	52	46	36	47
gene-b0046	U00096.3	47246	47776	+	531	431	85	94	301	392	176	214	50	80	67	66	102	141	327	383	219	83	178	183	142	153	225	164	305
gene-b0047	U00096.3	47769	49631	+	1863	1793	387	388	1227	1751	867	1234	249	433	314	276	430	528	1521	1693	1036	348	997	532	682	572	974	789	1566
gene-b0048	U00096.3	49823	50302	+	480	3101	585	470	2516	2997	2299	3219	808	1260	812	473	1753	2668	2687	3081	2379	954	2616	2540	2094	682	2794	3070	2898
gene-b0049	U00096.3	50380	51222	-	843	2425	504	463	2038	2097	1383	1349	519	727	525	450	775	1094	1979	2200	1396	606	1260	1088	962	751	1617	1266	1946
gene-b0050	U00096.3	51229	51606	-	378	2133	548	450	1817	2144	1546	2002	461	688	502	428	977	1462	1966	2047	1477	578	1551	1297	1136	634	1742	1691	1998
gene-b0051	U00096.3	51609	52430	-	822	6203	1356	1093	4894	5849	4120	5532	1295	2034	1487	1040	2726	3860	5500	5713	4373	1700	4554	3387	3252	1670	4223	4995	5645
gene-b0052	U00096.3	52427	53416	-	990	3132	648	583	2309	2754	2261	2370	619	895	663	509	1104	2219	2515	2766	2158	770	1989	2116	1486	937	2961	2160	2766
gene-b0053	U00096.3	53416	54702	-	1287	14361	2727	2119	11302	11235	9732	11199	2313	3417	2685	2096	4128	5938	11517	13987	9601	3188	9085	5277	6991	3657	9284	8814	11825
gene-b0054	U00096.3	54755	57109	-	2355	9744	1765	1718	6348	7659	5412	5123	1722	2339	1808	1661	2555	3643	6972	7868	4939	2290	4444	3517	3574	3037	5445	4997	7303
gene-b0055	U00096.3	57364	58179	+	816	2975	668	453	2198	2722	2115	2822	571	919	660	450	1099	1761	2732	2876	1975	791	2111	1745	1564	701	2319	2196	2790
gene-b0056	U00096.3	58474	59124	+	651	786	172	150	547	531	886	959	143	192	188	119	334	669	696	975	696	185	781	670	511	243	1077	635	692
gene-b0057	U00096.3	59121	59279	+	159	147	38	44	144	106	226	217	32	60	48	33	100	262	125	238	175	60	182	247	118	81	347	169	125
gene-b0058	U00096.3	59687	60346	-	660	2399	353	269	2171	2389	1782	4806	466	576	445	276	1659	2365	2125	2672	3622	492	3953	1948	2786	448	1902	3813	2435
gene-b0059	U00096.3	60358	63264	-	2907	5964	679	516	6876	5962	5630	10992	738	1072	799	474	3383	3757	4819	8956	9925	827	9233	3191	7257	1083	5288	7057	5252
gene-b0060	U00096.3	63429	65780	-	2352	481	139	138	289	409	326	308	108	192	151	106	133	263	474	401	208	179	234	266	122	297	382	220	442
gene-b0061	U00096.3	65855	66550	-	696	59	14	21	32	24	22	22	9	25	22	13	10	38	39	54	21	12	19	35	18	30	23	17	35
gene-b0062	U00096.3	66835	68337	-	1503	182	38	74	90	118	55	79	27	56	39	35	44	72	113	130	83	34	59	63	51	97	87	66	103
gene-b0063	U00096.3	68348	70048	-	1701	123	39	66	46	58	43	54	32	69	45	31	29	52	88	113	40	29	40	60	25	105	50	41	81
gene-b0064	U00096.3	70387	71265	+	879	555	196	190	286	445	185	268	183	253	197	170	158	346	504	301	167	287	187	254	138	278	317	335	350
gene-b0065	U00096.3	71351	72115	+	765	1299	282	265	923	1244	569	754	251	429	326	229	371	641	880	1032	712	406	691	525	501	409	786	718	881
gene-b0066	U00096.3	72229	72927	-	699	1590	246	202	1385	1497	944	1197	321	476	370	184	496	725	1466	1544	1068	397	1005	675	747	319	1097	946	1526
gene-b0067	U00096.3	72911	74521	-	1611	4058	493	413	3640	4008	2282	2371	721	1154	763	382	1159	1465	3217	4349	2846	837	2389	1349	1787	697	2350	2104	3562
gene-b0068	U00096.3	74497	75480	-	984	4662	537	480	3992	4553	2754	2788	685	1151	820	415	1125	1513	4163	4658	2994	811	2441	1494	1857	795	3043	2117	4024
gene-b4762	U00096.3	75516	75608	-	93	726	108	115	576	577	545	423	205	238	160	120	525	507	663	634	425	180	409	526	337	183	825	398	566
gene-b0069	U00096.3	75644	77299	-	1656	312	86	93	191	246	157	162	75	115	83	74	111	181	208	269	137	77	116	166	94	174	240	147	199
gene-b4577	U00096.3	77367	77593	+	227	421	205	197	294	419	428	394	160	250	195	161	193	782	488	308	190	259	267	732	213	322	988	332	374
gene-b4662	U00096.3	77388	77519	+	132	407	202	193	282	409	409	378	158	244	187	157	186	769	470	297	182	255	257	718	208	314	960	322	363
gene-b0070	U00096.3	77621	78799	+	1179	472	109	107	323	398	272	291	82	161	85	74	121	250	345	380	237	99	226	263	217	177	350	240	318
gene-b0071	U00096.3	78848	79453	-	606	4261	1092	1027	2760	3750	2197	3301	481	800	693	869	650	1253	4709	3163	2541	900	2288	896	1627	1753	2591	1245	3353
gene-b0072	U00096.3	79464	80864	-	1401	7018	1745	1891	4945	5847	3290	4257	1023	1560	1303	1510	1063	1706	7156	5972	4043	1743	3303	1341	2381	3297	3680	1707	5348
gene-b0073	U00096.3	80867	81958	-	1092	6005	1576	1676	4910	5249	3546	3224	1029	1524	1159	1479	849	1409	5927	5949	2728	1653	2547	1284	1662	2656	4243	1374	4659
gene-b0074	U00096.3	81958	83529	-	1572	4289	940	895	3689	3512	2200	1718	767	1040	805	756	533	876	3274	3987	1596	1080	1466	751	985	1477	2736	878	2876
gene-b0075	U00096.3	83622	83708	-	87	8589	1257	2040	2128	7161	2437	1200	1081	1298	689	1503	985	3615	4982	1855	910	1280	1340	4149	858	1435	4522	1452	3595
gene-b0076	U00096.3	84368	85312	+	945	214	55	54	75	109	99	97	24	62	35	47	45	70	153	144	66	60	70	89	46	69	129	43	123
gene-b4726	U00096.3	85467	85511	-	45	5	1	4	0	1	1	2	0	2	2	0	0	0	0	1	2	0	1	0	0	3	1	0	1
gene-b0077	U00096.3	85630	87354	+	1725	3615	453	772	2121	3094	1104	767	570	687	418	600	503	564	1846	2429	1017	607	782	633	802	1718	1111	997	1923
gene-b0078	U00096.3	87357	87848	+	492	1961	376	431	1153	1754	800	705	269	372	236	434	279	381	1263	1463	627	311	489	329	503	738	863	581	1302
gene-b0080	U00096.3	88028	89032	+	1005	1822	377	365	1185	1669	978	794	355	498	372	357	476	689	1261	1550	725	473	786	734	602	727	1128	848	1322
gene-b0081	U00096.3	89634	90092	+	459	4882	1243	952	3770	4232	3393	4465	1100	1629	1261	877	1602	3018	4428	4471	3095	1501	3436	2817	2506	1450	4136	3195	4433
gene-b0082	U00096.3	90094	91035	+	942	5196	1267	926	4270	4814	3518	4654	1050	1782	1299	885	1766	2490	4658	5325	3634	1461	3610	2307	2708	1613	3466	3327	4680
gene-b0083	U00096.3	91032	91397	+	366	1994	428	453	1897	1773	1628	1541	462	719	413	379	869	1415	1409	2084	1511	469	1558	1819	1117	675	1945	1500	1602
gene-b0084	U00096.3	91413	93179	+	1767	10967	3528	3681	8716	11003	8432	7907	3209	4626	2735	3098	4031	11274	9741	9248	6125	4085	6463	12446	5211	4365	15078	7618	7768
gene-b4810	U00096.3	92485	92658	+	174	7604	2791	3090	5932	7815	5981	5329	2582	3638	1926	2544	2991	9319	6651	6127	4048	3162	4363	10657	3734	3257	12155	5601	4889
gene-b0085	U00096.3	93166	94653	+	1488	11083	2613	1911	8709	10691	6932	9354	2266	3488	2604	1830	3600	5299	10651	9719	7063	3322	7237	4800	5377	3058	7146	6671	10387
gene-b0086	U00096.3	94650	96008	+	1359	5452	1131	952	4539	5133	3246	4543	1221	1810	1364	849	1931	2587	5064	5105	4028	1677	3809	2169	2636	1677	3268	3446	4892
gene-b0087	U00096.3	96002	97084	+	1083	3045	602	543	2800	2975	2031	2159	726	1092	719	435	1197	1807	2456	3259	2286	889	2225	1739	1463	1013	2224	1864	2409
gene-b0088	U00096.3	97087	98403	+	1317	6440	1403	1092	5485	6178	4189	5501	1460	2233	1579	1032	2331	3291	5868	6310	4676	2016	4580	2933	3321	1922	3987	4393	5659
gene-b0089	U00096.3	98403	99647	+	1245	5084	1257	824	5005	5161	3862	5046	1088	1730	1368	787	2159	3165	4740	5600	3999	1657	4315	2860	3117	1455	4008	3960	4736
gene-b0090	U00096.3	99644	100711	+	1068	5147	1289	917	4801	5442	4008	5421	1203	1834	1560	815	2182	3243	5044	5809	4265	1739	4294	3199	3135	1446	4378	3898	4915
gene-b0091	U00096.3	100765	102240	+	1476	9935	2416	1753	8786	9286	7403	10244	2348	3607	2914	1700	4169	5706	9986	10357	7675	3416	8221	5202	5629	2699	7333	7362	9629
gene-b0092	U00096.3	102233	103153	+	921	6697	1772	1268	5518	6403	4763	6640	1522	2305	1808	1278	2628	4169	6377	6611	4848	2286	5162	3791	3721	1912	5376	4812	6491
gene-b0093	U00096.3	103155	103985	+	831	5361	1470	1111	4568	5295	3596	5180	1284	1887	1535	1101	1922	2972	4742	5645	3981	1847	3896	2830	2845	1833	4078	3704	5230
gene-b0094	U00096.3	103982	105244	+	1263	12288	3588	2515	9503	11403	8184	10255	2639	4427	3347	2396	3976	6318	11209	11553	7502	3964	7706	5726	8578	3890	8983	7306	12018
gene-b4840	U00096.3	104948	105499	-	552	11733	3403	2299	8984	10924	8412	10292	2450	4093	3270	2147	3673	6849	11595	10864	6947	3780	7457	6077	8375	3572	9348	7033	12058
gene-b0095	U00096.3	105305	106456	+	1152	28845	7302	5348	22740	26323	18088	23149	6218	9983	7493	5201	9635	13483	26140	27628	18062	8818	18201	12156	13781	8579	17775	17417	27816
gene-b0096	U00096.3	106557	107474	+	918	34238	8503	6668	30090	29257	28440	32387	9332	14885	11156	6306	15278	23495	30618	36207	26315	12726	27589	20063	19816	10682	26419	27370	31272
gene-b0097	U00096.3	107705	108217	+	513	3973	865	762	3482	3200	3588	3722	845	1265	973	637	1547	3240	3630	4333	3199	1212	2925	3046	2202	1086	4611	2535	3196
gene-b0098	U00096.3	108279	110984	+	2706	37604	6917	4730	31710	28792	26401	37255	5290	8083	6693	4714	11912	16281	30422	38572	31505	7642	30615	14487	22333	7534	25996	22001	30030
gene-b0099	U00096.3	111044	111433	+	390	632	145	97	559	568	533	795	152	203	175	114	310	510	480	781	737	196	647	536	477	211	621	604	614
gene-b0101	U00096.3	111649	111846	-	198	739	144	116	671	665	522	537	164	241	180	104	280	521	654	771	496	181	511	474	361	234	670	552	667
gene-b0102	U00096.3	111856	112599	-	744	1617	311	272	1439	1482	1003	1139	357	548	393	233	633	886	1404	1777	1059	418	1108	738	751	481	1087	1059	1458
gene-b0103	U00096.3	112599	113219	-	621	1401	359	251	1069	1204	974	1105	245	438	346	223	420	870	1324	1269	833	381	925	818	633	416	1128	826	1248
gene-b4727	U00096.3	113244	113288	+	45	160	47	42	109	185	220	175	24	50	47	33	26	304	186	152	59	37	104	337	68	52	431	93	167
gene-b0104	U00096.3	113444	114487	+	1044	7092	1277	1423	4981	6394	3438	2951	1634	2250	1512	1265	1202	1490	5595	5531	2971	1970	2425	1437	2146	2314	3452	2239	5316
gene-b0106	U00096.3	114522	115724	-	1203	234	58	76	180	200	161	183	67	99	74	40	105	135	206	218	135	84	145	177	125	107	199	167	176
gene-b0107	U00096.3	115714	117099	-	1386	219	68	54	179	162	153	165	79	102	94	55	88	142	182	215	130	82	125	97	94	130	171	3130	162
gene-b0108	U00096.3	117109	117549	-	441	23	17	17	27	11	15	19	12	14	16	3	16	30	23	43	18	8	10	11	15	24	28	17	22
gene-b0109	U00096.3	117752	118645	-	894	2646	691	519	1631	2334	1263	1410	583	899	743	570	681	988	2348	1851	1110	868	1167	952	806	850	1451	1151	2162
gene-b0110	U00096.3	118733	119284	+	552	945	258	262	562	872	408	404	212	285	212	215	188	333	802	640	306	263	347	338	236	397	504	352	717
gene-b0111	U00096.3	119281	120135	+	855	1143	302	310	789	1090	512	445	224	353	251	279	265	382	923	851	446	291	405	407	331	457	654	387	848
gene-b0112	U00096.3	120178	121551	-	1374	2404	673	540	1658	2167	1304	1383	567	972	791	471	732	1043	2151	2037	1172	864	1261	952	887	836	1308	1097	1987
gene-b0113	U00096.3	122092	122856	+	765	574	141	119	640	646	766	979	262	392	267	142	413	674	495	946	715	223	820	733	753	228	877	793	723
gene-b0114	U00096.3	123017	125680	+	2664	83402	27358	19615	62881	83035	86541	100312	43148	70548	53540	21065	79102	87559	81554	105898	82355	52277	119227	93627	67395	31736	56450	128868	119354
gene-b0115	U00096.3	125695	127587	+	1893	56674	20855	15633	40174	61115	53437	56495	33563	55586	42420	16769	51216	57265	52774	66791	46285	39816	74768	61693	40439	25633	32647	84559	82457
gene-b0116	U00096.3	127912	129336	+	1425	62090	18604	14445	44288	55540	49508	56584	25929	40605	31089	14614	40580	49201	57313	65242	47445	31523	61954	56190	34734	24767	38572	66067	71996
gene-b0117	U00096.3	129407	131260	-	1854	527	135	156	390	408	461	386	160	253	185	112	284	488	362	477	322	182	405	588	217	187	466	413	397
gene-b0118	U00096.3	131615	134212	+	2598	32952	9540	9103	19345	34615	19448	23797	11568	15949	12359	10542	9978	15872	28270	25231	14851	14547	18710	14765	13047	19228	17658	21433	30414
gene-b0119	U00096.3	134388	134750	+	363	1558	425	394	1097	1640	912	1341	386	546	380	387	508	819	1305	1337	863	452	862	1014	733	546	1298	984	1361
gene-b0120	U00096.3	134788	135582	-	795	3898	867	772	2825	3207	2630	2784	1521	2281	1581	761	2397	3320	3032	4132	3091	1566	2878	3037	2185	1230	2697	3901	3134
gene-b0121	U00096.3	135598	136464	-	867	6865	1517	1351	6121	5745	5841	6775	2615	4161	2740	1361	4704	6313	5897	8229	6350	3137	5995	5421	4699	1945	6025	8111	6062
gene-b0122	U00096.3	136570	136917	-	348	694	112	139	548	538	486	487	105	169	87	101	200	471	539	663	402	127	384	423	303	151	810	379	427
gene-b0123	U00096.3	137083	138633	+	1551	2393	867	497	1734	2222	2058	3085	430	718	727	460	659	1535	3948	2136	1428	927	2001	1304	1119	1094	2875	1152	2803
gene-b0124	U00096.3	138835	141225	-	2391	25277	4558	4059	19128	24071	12652	11941	5553	9469	6581	3849	10391	9707	16615	24294	17743	6382	17324	12293	10939	7915	10503	15140	20911
gene-b0125	U00096.3	141431	141967	+	537	3475	800	666	2877	3795	2651	3191	1041	1383	984	692	1487	2449	2856	3588	2350	1017	2666	2785	2013	1069	3124	2856	2989
gene-b0126	U00096.3	142008	142670	-	663	23294	4931	4274	13220	16304	8938	8100	4298	6177	4292	3886	4301	6140	16244	14468	8418	5219	7161	5846	5857	6071	9695	7602	14560
gene-b0127	U00096.3	142779	143705	+	927	1306	299	245	973	1072	1159	1434	229	322	286	211	455	690	1183	1336	1011	314	998	599	753	415	1078	884	1092
gene-b0128	U00096.3	143702	144472	+	771	442	84	102	371	375	368	393	90	106	104	66	130	269	297	436	308	110	323	264	278	211	370	303	342
gene-b0129	U00096.3	144577	145017	+	441	141	19	29	97	116	95	91	14	36	30	14	37	70	94	151	86	34	68	77	74	56	110	74	96
gene-b0130	U00096.3	145081	146310	+	1230	1134	188	200	840	972	606	589	212	342	243	150	332	493	929	987	644	271	547	525	455	290	746	580	841
gene-b0131	U00096.3	146314	146694	-	381	9106	1384	1093	6067	8751	4688	4432	1479	2298	1639	1031	2462	3503	7600	6925	4222	1921	3938	3351	3411	1609	5386	4191	7016
gene-b0132	U00096.3	146968	147870	+	903	515	153	137	265	436	271	288	119	189	133	132	207	365	375	379	211	177	218	404	221	202	416	321	364
gene-b0133	U00096.3	147944	148795	-	852	6175	1180	1044	4059	6033	3156	3625	1274	1822	1382	1105	1739	2532	4964	4981	3183	1663	3163	2234	2273	1841	3053	3374	5534
gene-b0134	U00096.3	148807	149601	-	795	5118	1003	888	3383	4734	2455	2819	1153	1704	1366	832	1646	2365	4105	4134	2765	1489	2827	2174	1874	1623	2625	3019	4365
gene-b0135	U00096.3	149715	150953	-	1239	69	21	32	26	41	65	50	14	19	31	12	24	60	56	60	24	23	32	47	18	44	64	29	43
gene-b0136	U00096.3	151003	151599	-	597	35	9	16	13	17	24	23	5	16	7	9	12	24	28	23	12	14	9	21	3	18	34	14	17
gene-b0137	U00096.3	151626	152231	-	606	44	13	17	10	19	19	24	5	23	17	9	18	30	36	30	17	13	18	29	17	36	40	12	28
gene-b0138	U00096.3	152243	152812	-	570	35	18	7	13	14	20	30	6	17	16	7	10	19	25	26	16	12	14	31	10	21	33	14	23
gene-b0139	U00096.3	152829	155426	-	2598	98	46	51	50	82	84	87	29	65	68	27	34	91	93	130	65	45	61	98	42	71	110	61	101
gene-b0140	U00096.3	155461	156201	-	741	22	7	13	17	15	16	11	6	8	6	4	10	19	16	28	16	11	16	16	3	17	18	11	11
gene-b0141	U00096.3	156299	156883	-	585	29	5	14	14	12	34	30	13	14	12	6	5	28	18	31	27	12	24	23	17	20	24	20	15
gene-b0142	U00096.3	157253	157732	-	480	756	150	141	560	691	393	557	263	417	262	140	369	479	652	697	534	342	567	405	350	247	457	574	708
gene-b0143	U00096.3	157729	159126	-	1398	8097	1383	1220	7331	7518	4022	5623	2365	3701	2173	1194	3859	4430	6522	9061	6699	2652	5471	3821	4374	2327	5095	6164	6272
gene-b0144	U00096.3	159186	160112	-	927	1116	160	154	1049	892	822	998	142	216	173	132	330	558	908	1246	930	165	726	439	629	270	979	632	764
gene-b0145	U00096.3	160149	160604	-	456	20963	5055	3741	13640	16715	10976	14052	4151	6146	4356	3669	6210	9496	15850	16238	11008	5389	10491	8060	8885	5756	12726	12150	16953
