# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196399_sorted.bam" "SRR17196386_sorted.bam" "SRR17196390_sorted.bam" "SRR17196395_sorted.bam" "SRR17196401_sorted.bam" "SRR17196404_sorted.bam" "SRR17196406_sorted.bam" "SRR17196396_sorted.bam" "SRR17196393_sorted.bam" "SRR17196391_sorted.bam" "SRR17196389_sorted.bam" "SRR17196398_sorted.bam" "SRR17196400_sorted.bam" "SRR17196405_sorted.bam" "SRR17196397_sorted.bam" "SRR17196402_sorted.bam" "SRR17196388_sorted.bam" "SRR17196387_sorted.bam" "SRR17196392_sorted.bam" "SRR17196403_sorted.bam" "SRR17196394_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196399_sorted.bam	SRR17196386_sorted.bam	SRR17196390_sorted.bam	SRR17196395_sorted.bam	SRR17196401_sorted.bam	SRR17196404_sorted.bam	SRR17196406_sorted.bam	SRR17196396_sorted.bam	SRR17196393_sorted.bam	SRR17196391_sorted.bam	SRR17196389_sorted.bam	SRR17196398_sorted.bam	SRR17196400_sorted.bam	SRR17196405_sorted.bam	SRR17196397_sorted.bam	SRR17196402_sorted.bam	SRR17196388_sorted.bam	SRR17196387_sorted.bam	SRR17196392_sorted.bam	SRR17196403_sorted.bam	SRR17196394_sorted.bam
gene-NWMN_RS00055	NC_009641.1	15421	15750	+	330	24	46	55	31	9	13	1	32	26	35	34	15	12	8	23	10	31	30	31	8	33
gene-NWMN_RS00060	NC_009641.1	16113	17081	+	969	78	97	96	84	47	51	26	63	74	73	85	61	41	29	55	34	82	97	61	29	71
gene-NWMN_RS00065	NC_009641.1	17372	18310	+	939	491	1075	975	585	304	305	105	561	645	694	842	300	164	232	362	228	885	873	815	159	713
gene-NWMN_RS00070	NC_009641.1	18325	20292	+	1968	1350	2078	2958	1909	936	1050	512	2345	2334	2705	2696	955	794	807	1465	924	3228	1893	2478	776	2385
gene-NWMN_RS00075	NC_009641.1	20289	20735	+	447	425	438	845	497	286	315	142	652	701	780	647	246	230	220	477	299	913	304	832	238	704
gene-NWMN_RS00080	NC_009641.1	20767	22167	+	1401	828	1029	1981	1203	566	643	309	1598	1616	1739	1715	622	547	471	1050	530	2229	855	1594	462	1512
gene-NWMN_RS00085	NC_009641.1	22445	23728	+	1284	546	275	448	625	295	261	106	469	374	474	430	388	174	227	240	393	591	251	368	158	394
gene-NWMN_RS00090	NC_009641.1	24158	24232	+	75	164	170	228	245	43	47	169	221	211	219	238	160	139	74	167	99	239	301	309	103	246
gene-NWMN_RS00095	NC_009641.1	24240	24312	+	73	157	188	245	335	53	59	195	249	194	279	296	189	170	75	166	108	344	339	325	119	293
gene-NWMN_RS00100	NC_009641.1	24932	25633	+	702	373	375	583	471	226	204	97	528	401	570	511	283	195	170	363	247	663	361	472	169	448
gene-NWMN_RS00105	NC_009641.1	25646	27472	+	1827	655	520	1214	867	440	401	223	1134	963	1105	945	524	450	344	776	529	1383	510	965	332	904
gene-NWMN_RS00110	NC_009641.1	27465	28799	+	1335	521	533	1099	781	390	403	187	974	845	1061	875	399	324	330	630	412	1343	452	812	314	831
gene-NWMN_RS00115	NC_009641.1	28800	29588	+	789	347	568	814	506	249	281	126	646	586	653	714	207	186	217	410	233	937	458	727	223	554
gene-NWMN_RS00120	NC_009641.1	29978	30778	+	801	277	729	668	301	105	124	44	299	347	376	611	134	88	94	176	88	442	722	419	66	392
gene-NWMN_RS00125	NC_009641.1	31006	33324	+	2319	400	189	270	508	233	257	101	594	320	441	312	270	171	249	325	297	686	137	391	129	385
gene-NWMN_RS00130	NC_009641.1	33692	34171	+	480	93	46	84	79	54	41	28	114	55	83	66	57	57	32	82	48	82	51	76	30	83
gene-NWMN_RS00135	NC_009641.1	34376	34510	-	135	20	30	25	8	8	5	3	10	19	22	15	7	5	7	8	13	26	17	35	4	17
gene-NWMN_RS00140	NC_009641.1	34474	34566	+	93	16	18	14	5	9	4	1	4	16	16	6	2	5	6	5	6	16	15	30	2	13
gene-NWMN_RS00145	NC_009641.1	34713	36458	+	1746	365	298	405	188	130	89	40	166	253	269	227	159	83	79	148	126	308	339	344	63	218
gene-NWMN_RS00155	NC_009641.1	37020	37121	-	102	17	21	19	10	10	10	3	9	17	8	13	5	2	9	5	8	11	12	21	4	10
gene-NWMN_RS00160	NC_009641.1	37219	37974	-	756	125	194	121	121	170	152	42	96	101	110	127	64	60	63	77	74	164	139	166	62	114
gene-NWMN_RS00165	NC_009641.1	37974	38234	-	261	50	74	45	48	75	61	17	26	29	54	42	35	24	26	31	33	64	49	43	19	40
gene-NWMN_RS00170	NC_009641.1	38371	39438	+	1068	100	145	114	130	281	297	79	82	98	129	169	106	79	133	104	82	182	77	174	87	148
gene-NWMN_RS00175	NC_009641.1	39469	40803	+	1335	145	197	184	182	309	415	104	114	131	184	201	158	114	162	167	106	292	96	271	137	202
gene-NWMN_RS00180	NC_009641.1	40822	42015	+	1194	726	294	233	300	388	442	144	159	133	326	259	229	200	157	382	201	365	202	320	178	258
gene-NWMN_RS00190	NC_009641.1	42682	43668	-	987	392	638	635	483	204	240	99	533	546	598	819	253	197	161	271	151	807	555	711	186	598
gene-NWMN_RS00195	NC_009641.1	43977	44180	+	204	11	32	24	8	8	3	4	8	19	7	11	4	5	9	5	5	13	17	25	7	4
gene-NWMN_RS00200	NC_009641.1	44229	44525	+	297	52	83	66	31	21	15	11	24	50	40	69	24	15	23	20	21	62	75	47	9	41
gene-NWMN_RS00205	NC_009641.1	44597	45817	-	1221	63	147	133	52	60	53	11	51	89	74	82	30	18	34	48	28	95	127	105	24	84
gene-NWMN_RS00215	NC_009641.1	46473	47333	+	861	64	118	60	51	41	31	15	25	55	53	74	43	29	21	44	29	95	72	91	27	70
gene-NWMN_RS00220	NC_009641.1	47688	48221	-	534	42	54	31	25	16	28	7	8	17	24	15	13	10	9	14	5	30	28	41	7	21
gene-NWMN_RS00225	NC_009641.1	48312	49055	+	744	32	84	50	34	29	23	16	25	37	41	30	19	16	19	10	8	43	42	41	7	37
gene-NWMN_RS00230	NC_009641.1	49489	50091	+	603	61	140	70	50	66	48	15	50	91	65	86	34	22	21	36	16	73	113	95	25	71
gene-NWMN_RS00235	NC_009641.1	50358	53510	+	3153	193	111	183	171	99	82	40	187	153	177	146	89	89	55	138	79	233	103	219	62	150
gene-NWMN_RS00240	NC_009641.1	53567	54049	+	483	74	77	92	76	35	41	18	66	71	76	61	37	25	19	53	22	102	60	82	23	61
gene-NWMN_RS00245	NC_009641.1	54254	55240	+	987	65	30	55	36	27	35	11	36	38	48	44	30	16	21	26	21	48	59	45	13	34
gene-NWMN_RS00250	NC_009641.1	55461	56231	+	771	4	4	3	2	2	5	1	3	3	7	4	5	2	1	2	2	6	4	4	2	3
gene-NWMN_RS00255	NC_009641.1	56283	57053	+	771	10	5	7	5	10	12	2	7	11	6	4	2	3	7	5	4	14	2	8	2	12
gene-NWMN_RS00260	NC_009641.1	57117	57887	+	771	23	5	19	13	14	10	3	12	8	18	14	5	8	5	20	8	23	4	18	8	17
gene-NWMN_RS00265	NC_009641.1	57954	58721	+	768	37	17	19	24	26	10	6	16	11	34	18	10	10	14	14	11	23	11	27	10	22
gene-NWMN_RS00270	NC_009641.1	58815	61052	+	2238	444	335	394	306	146	120	57	262	281	321	315	155	93	99	217	114	405	350	351	91	280
gene-NWMN_RS00275	NC_009641.1	61203	62381	+	1179	309	37	47	90	112	62	34	37	29	62	49	88	84	55	105	131	75	44	46	43	62
gene-NWMN_RS00280	NC_009641.1	62383	63771	+	1389	436	78	89	101	139	75	41	36	44	110	77	120	120	72	153	197	121	83	66	52	85
gene-NWMN_RS00285	NC_009641.1	64264	65925	-	1662	1430	1645	1277	2372	693	834	285	1897	1516	1399	1691	773	419	484	719	372	1887	918	2676	454	1497
gene-NWMN_RS00290	NC_009641.1	66251	68026	-	1776	393	120	140	85	102	59	38	47	80	71	100	76	75	60	100	162	109	164	59	36	68
gene-NWMN_RS00295	NC_009641.1	68200	69072	-	873	8	13	16	3	5	6	1	3	1	7	9	4	4	1	8	5	13	10	8	5	5
gene-NWMN_RS00300	NC_009641.1	69185	70582	+	1398	36	58	42	30	21	22	8	33	47	50	35	16	10	19	21	19	52	47	45	7	39
gene-NWMN_RS00305	NC_009641.1	70772	71245	+	474	251	63	53	71	26	18	10	27	38	65	52	54	47	26	88	41	70	69	57	29	47
gene-NWMN_RS00310	NC_009641.1	71507	73099	+	1593	1866	1380	751	959	496	391	152	777	865	857	1030	583	377	246	665	390	1121	804	1276	318	1112
gene-NWMN_RS00315	NC_009641.1	73428	74954	-	1527	12883	5927	11851	14188	4664	5791	1989	17954	10917	11910	10897	8474	4357	4670	8692	6975	14089	3622	14735	2553	11665
gene-NWMN_RS00320	NC_009641.1	75375	76127	-	753	1143	2319	1462	1118	366	317	86	879	1018	881	1253	546	235	247	507	277	1182	1068	1802	211	1014
gene-NWMN_RS00325	NC_009641.1	76496	77494	-	999	879	555	422	509	357	313	174	218	219	528	404	381	381	178	697	264	537	625	311	434	476
gene-NWMN_RS00330	NC_009641.1	77491	78486	-	996	48	70	44	64	22	29	14	63	39	68	75	21	17	14	31	7	100	42	97	9	58
gene-NWMN_RS00335	NC_009641.1	78502	79494	-	993	71	176	88	142	41	53	25	130	76	120	175	47	16	28	50	24	239	60	235	28	117
gene-NWMN_RS00340	NC_009641.1	79725	80705	+	981	6	13	8	2	3	5	0	2	7	10	9	3	5	3	3	2	10	4	5	0	6
gene-NWMN_RS00345	NC_009641.1	80702	81712	+	1011	4	4	3	4	3	4	4	3	2	10	5	3	9	3	4	2	8	6	4	4	4
gene-NWMN_RS00350	NC_009641.1	81733	83487	+	1755	6	7	7	6	5	7	4	4	7	13	6	6	6	5	8	7	26	10	15	8	13
gene-NWMN_RS00355	NC_009641.1	83480	84736	+	1257	13	13	20	17	13	12	4	6	11	14	17	7	5	4	13	8	19	7	15	7	17
gene-NWMN_RS00360	NC_009641.1	84726	86462	+	1737	14	26	20	27	19	13	12	17	23	29	21	20	11	10	16	10	31	18	18	11	26
gene-NWMN_RS00365	NC_009641.1	86371	88221	+	1851	24	24	29	19	25	31	14	30	18	32	25	18	7	9	24	11	51	15	31	12	33
gene-NWMN_RS00370	NC_009641.1	88196	88972	+	777	7	21	17	16	12	11	7	15	10	24	20	6	12	6	16	10	23	13	12	6	21
gene-NWMN_RS00375	NC_009641.1	88972	90174	+	1203	17	45	39	25	22	21	11	23	20	33	22	15	16	5	22	10	35	13	28	14	36
gene-NWMN_RS00380	NC_009641.1	90178	90942	+	765	31	56	39	34	30	34	10	20	13	39	47	18	17	11	31	15	53	30	42	24	55
gene-NWMN_RS00390	NC_009641.1	91138	91545	+	408	21	30	28	14	6	10	1	14	16	20	23	7	5	4	15	7	19	15	32	5	15
gene-NWMN_RS00395	NC_009641.1	91595	92221	+	627	46	46	32	28	8	12	0	31	47	29	38	14	6	13	24	13	44	32	52	8	27
gene-NWMN_RS00400	NC_009641.1	92433	93209	+	777	1422	725	1153	652	1158	433	373	444	579	709	729	852	742	636	818	1357	965	1273	551	767	638
gene-NWMN_RS00405	NC_009641.1	93353	93475	+	123	0	0	1	0	0	0	0	2	0	2	0	0	0	1	1	0	0	1	0	0	0
gene-NWMN_RS00410	NC_009641.1	93545	94525	+	981	10	7	7	6	6	7	3	4	7	6	4	8	6	2	7	7	13	6	5	4	5
gene-NWMN_RS00415	NC_009641.1	94488	95180	+	693	9	9	6	6	4	6	4	5	4	7	6	5	5	1	3	1	10	8	4	7	8
gene-NWMN_RS00420	NC_009641.1	95390	96556	+	1167	25	21	23	17	11	10	2	12	11	15	22	9	9	3	10	7	21	12	14	3	21
gene-NWMN_RS00425	NC_009641.1	96537	97775	+	1239	30	48	29	23	12	16	3	13	21	26	33	16	3	11	17	10	29	39	32	9	28
gene-NWMN_RS00430	NC_009641.1	97765	99195	+	1431	97	188	161	91	52	56	17	70	73	89	109	50	33	29	54	29	127	125	131	38	98
gene-NWMN_RS00435	NC_009641.1	99463	100062	+	600	181	452	293	229	124	108	59	183	203	241	395	105	60	83	133	81	380	334	329	75	259
gene-NWMN_RS15925	NC_009641.1	101018	101155	+	138	361	74	224	137	134	60	27	157	185	85	58	133	69	74	89	259	68	200	121	83	92
gene-NWMN_RS00445	NC_009641.1	101347	102102	-	756	102	92	97	76	39	45	19	80	63	65	78	46	30	26	52	43	110	94	100	28	96
gene-NWMN_RS00455	NC_009641.1	102338	103045	+	708	181	37	43	65	77	53	54	39	20	53	36	134	77	70	79	149	55	40	44	59	61
gene-NWMN_RS00460	NC_009641.1	103052	104404	+	1353	400	116	133	151	185	156	93	87	83	178	105	187	141	151	205	218	245	91	140	143	145
gene-NWMN_RS00465	NC_009641.1	104485	105147	+	663	522	340	624	491	286	249	144	456	400	687	547	303	269	200	522	355	872	264	439	217	504
gene-NWMN_RS00470	NC_009641.1	105175	106353	+	1179	1424	611	1350	844	589	487	302	784	829	1333	868	577	477	450	968	896	1636	623	780	448	1014
gene-NWMN_RS00475	NC_009641.1	106484	107299	-	816	13	14	19	15	12	11	6	15	16	38	23	13	8	12	19	10	26	15	20	5	19
gene-NWMN_RS00480	NC_009641.1	107296	108096	-	801	9	18	17	14	10	8	1	12	10	13	13	4	5	3	9	4	25	7	14	5	10
gene-NWMN_RS00485	NC_009641.1	108098	108871	-	774	10	12	9	12	6	9	3	8	11	16	10	12	4	3	12	5	18	5	5	6	12
gene-NWMN_RS00490	NC_009641.1	109085	110041	-	957	17	15	13	15	7	8	4	12	10	22	11	8	3	8	16	12	20	12	22	10	11
gene-NWMN_RS00495	NC_009641.1	110270	111814	+	1545	15	17	16	17	32	34	7	16	22	24	30	8	12	6	23	12	36	10	21	21	16
gene-NWMN_RS00500	NC_009641.1	111865	113400	+	1536	134	81	111	117	65	55	30	108	95	96	102	64	55	45	90	51	119	84	116	45	101
gene-NWMN_RS00520	NC_009641.1	114904	115191	+	288	10	17	10	6	5	2	3	7	3	6	7	6	2	1	4	2	6	8	13	0	6
gene-NWMN_RS00530	NC_009641.1	116515	119124	+	2610	194	67	182	106	287	74	35	81	74	120	73	160	89	193	106	407	138	140	59	69	85
gene-NWMN_RS00535	NC_009641.1	119469	120137	+	669	15	14	9	7	14	15	14	8	7	22	9	8	14	3	22	6	30	8	8	15	31
gene-NWMN_RS00540	NC_009641.1	120153	120839	+	687	29	27	12	18	21	21	24	9	11	43	25	14	30	9	21	12	46	14	13	31	38
gene-NWMN_RS00545	NC_009641.1	120842	121606	+	765	34	21	12	18	25	17	19	8	12	37	20	12	30	10	41	14	49	13	18	31	36
gene-NWMN_RS00550	NC_009641.1	121626	123449	+	1824	46	28	30	22	38	31	55	23	25	98	29	34	56	17	93	22	116	20	38	76	61
gene-NWMN_RS00555	NC_009641.1	123439	124467	+	1029	34	11	17	26	27	36	33	22	11	75	27	15	40	14	76	23	90	8	23	57	52
gene-NWMN_RS00560	NC_009641.1	124480	125589	+	1110	29	25	26	27	39	29	33	14	10	71	27	32	60	14	72	19	82	12	32	58	62
gene-NWMN_RS00565	NC_009641.1	125593	126717	+	1125	31	26	22	33	40	33	35	26	13	62	37	17	58	20	59	20	82	17	21	46	64
gene-NWMN_RS00570	NC_009641.1	126720	127346	+	627	18	25	18	17	16	14	14	11	12	44	21	15	19	6	35	11	51	11	13	20	46
gene-NWMN_RS00575	NC_009641.1	127351	128460	+	1110	43	55	30	22	31	26	18	19	27	71	28	24	50	6	48	8	67	22	43	40	84
gene-NWMN_RS00580	NC_009641.1	128474	129640	+	1167	56	52	37	32	26	34	15	15	31	55	43	27	33	16	42	16	57	47	50	31	62
gene-NWMN_RS00585	NC_009641.1	129633	130838	+	1206	32	73	30	29	30	30	22	13	30	45	36	24	29	16	47	11	58	36	36	24	66
gene-NWMN_RS00590	NC_009641.1	130839	132044	+	1206	57	87	62	51	61	61	39	31	39	102	64	28	56	27	77	20	131	61	66	46	108
gene-NWMN_RS00595	NC_009641.1	132055	132612	+	558	29	39	36	18	36	30	24	19	33	54	50	16	40	9	37	21	83	34	29	44	49
gene-NWMN_RS00600	NC_009641.1	132612	133499	+	888	35	52	70	30	34	51	32	33	45	83	53	28	69	19	65	36	94	34	54	58	67
gene-NWMN_RS00605	NC_009641.1	133553	134815	+	1263	78	52	87	62	56	76	49	57	67	120	77	41	82	32	120	43	167	46	73	71	118
gene-NWMN_RS00610	NC_009641.1	134892	136037	+	1146	122	143	169	151	86	103	65	111	105	187	176	61	107	46	149	52	225	119	152	98	174
gene-NWMN_RS00615	NC_009641.1	136102	136428	-	327	26	68	32	24	11	18	4	27	26	35	52	18	7	13	26	10	55	28	52	16	32
gene-NWMN_RS00620	NC_009641.1	136435	136818	-	384	16	20	19	15	11	9	2	11	11	31	29	11	6	4	11	2	22	17	29	4	28
gene-NWMN_RS00625	NC_009641.1	137245	138732	+	1488	145	214	311	264	87	91	45	241	218	224	361	107	92	86	163	73	347	146	416	91	184
gene-NWMN_RS00630	NC_009641.1	139378	140337	+	960	237	93	99	70	48	33	15	40	72	83	91	59	50	23	87	57	112	104	76	34	70
gene-NWMN_RS00635	NC_009641.1	140399	140602	-	204	119	26	26	31	14	9	3	11	8	24	18	30	29	7	47	29	33	19	27	8	20
gene-NWMN_RS00640	NC_009641.1	140781	141293	+	513	221	154	512	88	55	26	17	275	405	108	114	59	40	29	82	48	103	265	194	47	120
gene-NWMN_RS00645	NC_009641.1	141635	142375	+	741	21	9	108	11	10	5	3	90	114	15	15	10	4	6	9	11	17	63	14	1	22
gene-NWMN_RS00650	NC_009641.1	142389	143363	+	975	29	24	147	15	5	7	5	100	148	28	25	15	6	5	14	9	18	84	30	13	27
gene-NWMN_RS00655	NC_009641.1	143360	144121	+	762	27	20	125	21	13	9	1	91	119	18	17	9	8	4	8	9	15	71	28	10	34
gene-NWMN_RS00660	NC_009641.1	144134	145165	+	1032	122	35	206	54	27	23	14	160	180	43	46	31	33	19	47	24	31	135	54	15	48
gene-NWMN_RS00665	NC_009641.1	145382	145741	+	360	165	328	307	173	172	159	84	164	216	214	287	128	89	82	147	71	311	299	276	140	268
gene-NWMN_RS00670	NC_009641.1	145914	146939	+	1026	21	33	54	28	31	30	8	29	28	35	35	11	15	17	19	11	45	49	23	18	31
gene-NWMN_RS00675	NC_009641.1	147325	148575	+	1251	139	270	178	101	63	75	41	103	140	159	176	64	49	48	75	52	204	162	173	39	148
gene-NWMN_RS00680	NC_009641.1	149022	156197	+	7176	1648	2038	2053	1848	1573	1892	718	1450	1423	2299	2215	1123	977	1122	1647	1085	3376	1604	2017	858	2093
gene-NWMN_RS00685	NC_009641.1	156210	156854	+	645	263	404	302	228	208	207	77	153	185	242	330	137	114	125	186	106	361	253	269	144	276
gene-NWMN_RS00690	NC_009641.1	157182	157661	-	480	429	225	491	211	163	71	38	174	216	189	119	167	105	108	237	183	164	501	105	90	171
gene-NWMN_RS00695	NC_009641.1	157931	158695	-	765	21	42	32	23	22	29	8	19	21	30	36	19	12	10	31	15	26	50	39	10	34
gene-NWMN_RS00700	NC_009641.1	158711	159952	-	1242	30	27	40	26	8	25	2	23	30	32	33	17	12	7	20	7	61	42	23	11	39
gene-NWMN_RS00705	NC_009641.1	159964	160995	-	1032	16	16	13	10	17	16	1	16	17	29	24	9	11	9	14	8	29	14	13	10	21
gene-NWMN_RS00710	NC_009641.1	161034	162218	-	1185	19	28	33	26	34	29	10	14	29	34	21	17	12	7	19	7	31	31	26	8	27
gene-NWMN_RS00715	NC_009641.1	162471	163826	-	1356	320	503	517	324	79	82	36	312	309	329	322	189	92	56	220	92	361	381	401	62	316
gene-NWMN_RS00720	NC_009641.1	164102	164659	-	558	91	147	79	108	36	30	27	62	41	67	101	65	45	18	91	38	148	78	127	36	86
gene-NWMN_RS00725	NC_009641.1	164726	166366	-	1641	131	332	170	252	66	58	41	137	147	192	315	97	86	35	126	44	321	193	326	68	187
gene-NWMN_RS00730	NC_009641.1	166560	166661	+	102	81	108	82	61	40	23	16	43	68	60	60	32	28	35	72	43	63	73	100	39	81
gene-NWMN_RS00735	NC_009641.1	166640	168685	-	2046	2656	2636	2489	2417	1170	969	517	1939	1630	2208	2184	1414	987	835	2394	1246	2275	2437	2342	863	3796
gene-NWMN_RS00740	NC_009641.1	169271	170326	+	1056	159	60	106	155	71	61	48	148	64	125	104	104	78	42	175	85	176	56	154	65	127
gene-NWMN_RS00745	NC_009641.1	170326	171222	+	897	120	50	115	147	77	78	55	163	90	133	100	80	90	54	159	97	179	42	132	59	117
gene-NWMN_RS00750	NC_009641.1	171234	172688	+	1455	431	159	265	350	199	153	99	293	167	285	226	282	248	168	347	291	352	232	248	187	233
gene-NWMN_RS00755	NC_009641.1	172691	173566	+	876	314	142	158	228	128	88	61	101	108	143	128	163	133	108	181	169	196	215	161	102	118
gene-NWMN_RS00760	NC_009641.1	173760	174041	-	282	11	19	14	5	6	3	1	8	10	10	8	10	5	1	5	5	17	13	14	2	4
gene-NWMN_RS00765	NC_009641.1	174254	177043	+	2790	516	347	615	489	194	178	69	595	535	480	461	265	140	163	323	231	652	288	618	117	460
gene-NWMN_RS00770	NC_009641.1	177248	178090	+	843	292	214	336	179	94	62	36	183	232	175	197	85	65	56	145	89	253	206	309	49	180
gene-NWMN_RS00775	NC_009641.1	178092	179015	+	924	254	110	210	107	51	41	18	150	146	150	121	75	65	55	123	90	163	99	180	46	137
gene-NWMN_RS00780	NC_009641.1	179002	180114	+	1113	207	69	152	84	61	31	17	89	108	92	79	58	38	30	114	83	114	77	103	39	74
gene-NWMN_RS00785	NC_009641.1	180379	181971	-	1593	67	66	119	41	43	33	22	90	105	79	74	42	35	17	42	36	88	72	60	33	66
gene-NWMN_RS00790	NC_009641.1	181928	183406	+	1479	14	24	33	22	18	12	3	28	25	21	22	12	3	5	15	7	21	34	15	7	22
gene-NWMN_RS00795	NC_009641.1	183412	184575	+	1164	14	18	29	8	6	10	4	20	11	18	9	12	7	10	16	6	15	24	14	6	13
gene-NWMN_RS00800	NC_009641.1	184592	186367	+	1776	20	18	44	30	18	20	2	29	28	23	23	22	10	15	16	14	40	27	36	12	15
gene-NWMN_RS00805	NC_009641.1	186405	188411	+	2007	95	78	140	74	65	79	40	101	105	85	129	60	57	44	71	45	118	107	93	49	97
gene-NWMN_RS00810	NC_009641.1	188709	189482	-	774	33	68	47	29	31	31	17	24	39	44	29	20	13	13	32	14	65	50	53	23	38
gene-NWMN_RS00815	NC_009641.1	189672	190298	-	627	140	315	186	167	228	244	79	97	112	169	201	111	99	85	138	67	228	150	248	143	220
gene-NWMN_RS00820	NC_009641.1	190507	191085	+	579	12	66	43	25	29	21	9	19	21	38	68	20	17	21	16	9	53	57	34	14	33
gene-NWMN_RS00825	NC_009641.1	191468	192565	+	1098	90	67	94	122	24	27	13	190	89	65	117	54	22	17	56	28	149	25	242	14	89
gene-NWMN_RS00830	NC_009641.1	192578	193849	+	1272	82	66	105	164	47	48	12	237	124	72	130	63	26	25	68	29	178	53	285	28	116
gene-NWMN_RS00835	NC_009641.1	193852	195120	+	1269	154	144	145	270	55	58	36	291	146	105	188	105	45	48	125	65	185	112	355	38	138
gene-NWMN_RS00840	NC_009641.1	195122	195961	+	840	118	109	77	178	34	30	21	162	72	91	86	87	32	39	87	41	140	73	223	22	67
gene-NWMN_RS00845	NC_009641.1	196035	197111	+	1077	201	109	160	381	76	88	37	282	147	204	204	109	73	66	182	123	318	107	327	61	119
gene-NWMN_RS00850	NC_009641.1	197136	198176	+	1041	218	133	198	311	99	81	36	240	129	191	195	121	70	51	144	111	282	107	278	52	122
gene-NWMN_RS00855	NC_009641.1	198231	199199	+	969	260	258	260	359	113	104	49	229	196	219	275	185	76	89	158	120	292	253	340	62	186
gene-NWMN_RS00860	NC_009641.1	199560	200054	-	495	1887	3792	1593	1761	788	832	187	1431	1611	1568	2232	833	343	723	605	590	2637	977	3828	368	2059
gene-NWMN_RS00865	NC_009641.1	200287	201666	+	1380	147	52	61	87	146	137	81	83	49	46	40	66	136	145	242	151	44	42	97	102	241
gene-NWMN_RS00870	NC_009641.1	202025	202783	-	759	150	111	135	101	64	55	19	100	114	83	107	70	37	32	81	56	102	114	141	31	105
gene-NWMN_RS00875	NC_009641.1	202776	204332	-	1557	127	84	149	106	51	44	11	105	109	104	95	46	27	26	78	38	108	85	114	21	83
gene-NWMN_RS00880	NC_009641.1	204329	205297	-	969	70	75	77	75	31	24	11	73	73	57	75	40	18	27	52	33	66	73	87	13	70
