# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR3110979_sorted.bam" "SRR3110978_sorted.bam" "SRR3110971_sorted.bam" "SRR3110976_sorted.bam" "SRR3110977_sorted.bam" "SRR3110975_sorted.bam" "SRR3110972_sorted.bam" "SRR3110970_sorted.bam" "SRR3110973_sorted.bam" "SRR3110974_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3110979_sorted.bam	SRR3110978_sorted.bam	SRR3110971_sorted.bam	SRR3110976_sorted.bam	SRR3110977_sorted.bam	SRR3110975_sorted.bam	SRR3110972_sorted.bam	SRR3110970_sorted.bam	SRR3110973_sorted.bam	SRR3110974_sorted.bam
gene-Y11_RS01115	NC_017564.1	233408	234400	+	993	478	583	418	497	616	396	376	1290	456	586
gene-Y11_RS01125	NC_017564.1	235924	237240	+	1317	239	363	119	262	466	232	145	395	236	273
gene-Y11_RS01130	NC_017564.1	237302	237808	+	507	115	101	50	59	122	79	73	138	81	110
gene-Y11_RS01135	NC_017564.1	237818	239629	+	1812	415	313	266	344	388	331	278	510	415	468
gene-Y11_RS01140	NC_017564.1	239846	240154	+	309	213	219	103	189	326	177	146	333	193	269
gene-Y11_RS01145	NC_017564.1	240388	241752	+	1365	760	805	1185	711	964	676	1063	1415	1030	1053
gene-Y11_RS01150	NC_017564.1	241981	243654	+	1674	1069	839	1402	910	1289	1032	1435	1521	1384	1536
gene-Y11_RS01155	NC_017564.1	243651	244475	+	825	552	569	951	657	718	723	1087	1112	991	1078
gene-Y11_RS01160	NC_017564.1	244489	245346	+	858	2400	2014	4201	2965	3082	3490	5011	5913	5098	5106
gene-Y11_RS01165	NC_017564.1	245346	246317	+	972	1922	1648	2744	1962	2433	2637	3174	3427	3375	3332
gene-Y11_RS01170	NC_017564.1	246305	247699	+	1395	1882	1942	2936	2291	2742	2784	3459	3438	3458	3352
gene-Y11_RS01175	NC_017564.1	248349	249788	-	1440	1635	1931	2145	2025	2056	2468	3540	4398	3302	3122
gene-Y11_RS01180	NC_017564.1	250146	250688	+	543	3458	4635	4265	5041	5151	4040	5371	5112	5362	6690
gene-Y11_RS01185	NC_017564.1	250886	252094	-	1209	1323	1359	2049	1629	1769	1826	2214	1800	2560	2454
gene-Y11_RS01190	NC_017564.1	252448	253650	+	1203	788	920	1026	1163	1138	1123	1241	2393	1370	1572
gene-Y11_RS01195	NC_017564.1	253885	254655	+	771	317	425	123	406	491	221	124	334	222	339
gene-Y11_RS01200	NC_017564.1	254645	255418	+	774	392	699	141	531	525	345	184	491	331	433
gene-Y11_RS01205	NC_017564.1	255408	256169	+	762	315	524	135	372	455	248	187	399	312	385
gene-Y11_RS01210	NC_017564.1	256181	260023	+	3843	992	1286	824	1221	1355	1081	1112	1986	1266	1454
gene-Y11_RS01215	NC_017564.1	260099	261604	+	1506	550	957	481	778	1023	636	520	1261	716	936
gene-Y11_RS01220	NC_017564.1	261691	262197	-	507	1278	1670	1432	1637	1864	1319	1577	2593	1716	2133
gene-Y11_RS01225	NC_017564.1	262568	262873	-	306	1281	1150	1647	1303	1634	1524	1881	1626	1780	1778
gene-Y11_RS01230	NC_017564.1	262953	264083	-	1131	11484	9859	16663	12527	12654	13986	17920	20388	18416	17452
gene-Y11_RS01235	NC_017564.1	264169	266454	-	2286	36364	32477	44658	36041	39864	38143	45942	53943	50654	48521
gene-Y11_RS01240	NC_017564.1	266971	267699	-	729	1892	1897	2693	2536	2312	2149	2607	3153	3294	2999
