# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR7542856_sorted.bam" "SRR7542872_sorted.bam" "SRR7542865_sorted.bam" "SRR7542867_sorted.bam" "SRR7542866_sorted.bam" "SRR7542855_sorted.bam" "SRR7542868_sorted.bam" "SRR7542860_sorted.bam" "SRR7542858_sorted.bam" "SRR7542863_sorted.bam" "SRR7542861_sorted.bam" "SRR7542857_sorted.bam" "SRR7542869_sorted.bam" "SRR7542870_sorted.bam" "SRR7542864_sorted.bam" "SRR7542859_sorted.bam" "SRR7542862_sorted.bam" "SRR7542871_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR7542856_sorted.bam	SRR7542872_sorted.bam	SRR7542865_sorted.bam	SRR7542867_sorted.bam	SRR7542866_sorted.bam	SRR7542855_sorted.bam	SRR7542868_sorted.bam	SRR7542860_sorted.bam	SRR7542858_sorted.bam	SRR7542863_sorted.bam	SRR7542861_sorted.bam	SRR7542857_sorted.bam	SRR7542869_sorted.bam	SRR7542870_sorted.bam	SRR7542864_sorted.bam	SRR7542859_sorted.bam	SRR7542862_sorted.bam	SRR7542871_sorted.bam
gene-AUO97_RS00060	NZ_CP018664.1	8594	9991	-	1398	198	31	62	23	55	239	18	235	198	108	91	198	28	17	73	196	129	13
gene-AUO97_RS00065	NZ_CP018664.1	10094	11662	-	1569	645	101	207	75	211	884	72	1021	969	571	284	732	134	54	307	866	521	32
gene-AUO97_RS00070	NZ_CP018664.1	11773	13155	-	1383	200	21	54	23	36	298	30	312	272	212	139	270	36	13	98	248	193	5
gene-AUO97_RS00075	NZ_CP018664.1	13253	14170	+	918	59	1	27	5	9	68	6	101	65	60	36	68	3	2	37	76	67	2
gene-AUO97_RS00080	NZ_CP018664.1	14228	14301	-	74	36	2	9	14	4	23	8	59	45	27	15	31	1	1	16	36	44	6
gene-AUO97_RS00085	NZ_CP018664.1	14367	14451	-	85	568	80	292	181	190	486	241	674	710	491	291	712	81	56	452	716	522	66
gene-AUO97_RS00090	NZ_CP018664.1	14479	14552	-	74	768	107	403	234	283	636	326	846	891	652	400	1004	110	79	638	951	684	85
gene-AUO97_RS00095	NZ_CP018664.1	14609	14693	-	85	675	98	369	215	239	551	308	743	809	556	354	885	105	65	553	847	597	71
gene-AUO97_RS00100	NZ_CP018664.1	14799	15602	-	804	177	17	49	17	19	192	15	154	168	162	94	153	15	11	68	197	169	8
gene-AUO97_RS00105	NZ_CP018664.1	15589	17097	-	1509	621	45	235	70	120	810	98	655	871	916	539	582	60	61	324	794	789	37
gene-AUO97_RS00110	NZ_CP018664.1	17276	18157	+	882	150	18	66	29	24	228	23	244	238	292	147	149	14	10	82	236	242	13
gene-AUO97_RS00120	NZ_CP018664.1	19368	20378	-	1011	569	55	136	77	92	606	80	586	578	374	222	496	62	42	173	652	358	22
gene-AUO97_RS00125	NZ_CP018664.1	20524	20739	+	216	8041	1187	2589	1298	1924	7979	1663	11326	10695	8373	4920	8595	1395	787	3062	11620	7617	586
gene-AUO97_RS00130	NZ_CP018664.1	20766	21212	+	447	9261	1147	2798	1403	2069	8953	1786	13104	12635	9498	5359	9844	1477	839	3239	13759	8408	650
gene-AUO97_RS00135	NZ_CP018664.1	21303	22730	-	1428	574	80	317	113	160	730	158	606	866	746	468	500	105	65	411	727	622	43
gene-AUO97_RS00140	NZ_CP018664.1	22878	23843	-	966	702	62	233	72	105	772	78	928	949	1159	626	740	67	36	313	969	923	30
gene-AUO97_RS00145	NZ_CP018664.1	23855	24505	-	651	323	20	89	57	49	360	49	311	351	311	155	325	21	16	120	313	241	9
gene-AUO97_RS00150	NZ_CP018664.1	24606	26495	-	1890	499	34	112	37	73	594	50	548	593	554	259	468	23	23	178	589	417	15
gene-AUO97_RS00155	NZ_CP018664.1	26574	28115	-	1542	2930	329	781	247	520	3593	325	2963	3470	3184	1785	2823	319	242	1146	3562	2521	139
gene-AUO97_RS00160	NZ_CP018664.1	28141	28728	-	588	830	70	177	75	139	1017	101	778	817	627	444	839	82	79	289	869	614	36
gene-AUO97_RS00165	NZ_CP018664.1	28735	29739	-	1005	1482	117	385	153	226	1734	199	1573	1735	1258	818	1453	132	98	477	1867	1261	65
gene-AUO97_RS00170	NZ_CP018664.1	29829	30308	-	480	337	28	93	24	56	389	29	410	412	278	189	355	18	13	113	411	306	14
gene-AUO97_RS00175	NZ_CP018664.1	30308	31447	-	1140	944	83	231	72	169	1094	75	1181	1273	898	574	972	85	58	296	1205	887	27
gene-AUO97_RS00180	NZ_CP018664.1	31470	31925	-	456	499	21	106	25	66	605	44	679	694	571	350	576	29	21	139	782	552	13
gene-AUO97_RS00185	NZ_CP018664.1	31982	33055	-	1074	1028	52	312	78	146	1210	111	1413	1526	1282	784	1122	61	48	406	1441	1271	35
gene-AUO97_RS00190	NZ_CP018664.1	33091	33666	-	576	769	41	302	108	126	976	103	993	988	850	572	759	64	37	332	1024	802	27
gene-AUO97_RS00195	NZ_CP018664.1	33870	34250	+	381	756	58	651	213	309	933	279	494	990	1091	762	534	175	84	852	904	1165	53
gene-AUO97_RS00200	NZ_CP018664.1	34287	35438	-	1152	2352	167	480	270	368	2806	318	2669	2763	1282	943	2227	233	143	667	2846	1418	97
gene-AUO97_RS00205	NZ_CP018664.1	35542	35754	-	213	16223	1368	5808	3113	5934	18419	3759	26223	25524	15291	9055	20181	3158	976	6234	25997	14048	781
gene-AUO97_RS00210	NZ_CP018664.1	36129	36374	+	246	253	19	38	19	22	255	10	273	235	191	78	288	16	11	53	212	134	14
gene-AUO97_RS00215	NZ_CP018664.1	36508	37374	+	867	4091	466	1694	478	875	5738	532	4380	5567	3975	2769	3797	541	317	2420	5381	3792	201
gene-AUO97_RS00220	NZ_CP018664.1	37486	37851	+	366	464	34	137	41	65	565	50	551	620	420	264	482	51	20	186	604	456	24
gene-AUO97_RS00225	NZ_CP018664.1	37865	38062	+	198	427	31	92	30	43	526	31	549	575	436	246	414	38	20	132	577	401	16
gene-AUO97_RS00230	NZ_CP018664.1	38076	38861	+	786	917	63	194	55	97	1153	63	1254	1226	971	609	1012	71	43	247	1323	858	36
gene-AUO97_RS00235	NZ_CP018664.1	38998	39621	-	624	73	4	13	5	1	87	2	74	81	68	41	69	5	1	23	92	59	1
gene-AUO97_RS00240	NZ_CP018664.1	39641	40414	-	774	204	7	70	21	36	221	32	247	268	298	134	201	17	12	79	299	251	8
gene-AUO97_RS00245	NZ_CP018664.1	40541	41173	+	633	239	15	68	23	39	171	43	189	228	223	147	195	30	20	71	255	189	10
gene-AUO97_RS00250	NZ_CP018664.1	41231	42832	-	1602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene-AUO97_RS00255	NZ_CP018664.1	42900	43874	+	975	1	0	0	0	0	2	0	2	2	2	1	1	1	0	2	4	1	0
gene-AUO97_RS00260	NZ_CP018664.1	44130	45398	+	1269	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
gene-AUO97_RS00265	NZ_CP018664.1	45401	45784	+	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS00270	NZ_CP018664.1	45797	46255	+	459	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
gene-AUO97_RS00275	NZ_CP018664.1	46515	47561	+	1047	7	0	1	1	0	12	0	14	15	5	7	13	1	0	2	9	12	0
gene-AUO97_RS00280	NZ_CP018664.1	47597	49057	-	1461	663	78	353	120	154	826	118	926	1171	975	594	589	77	67	374	1050	925	46
gene-AUO97_RS00285	NZ_CP018664.1	49228	49611	-	384	428	33	148	69	87	608	111	624	707	559	311	445	36	24	194	663	464	25
gene-AUO97_RS00290	NZ_CP018664.1	49739	51985	-	2247	3221	335	939	279	679	4015	297	4241	4274	3778	1954	3447	466	175	1294	4303	2817	129
gene-AUO97_RS00295	NZ_CP018664.1	52094	53203	-	1110	1151	112	454	130	225	1397	143	1514	1523	1358	823	1181	141	71	537	1570	1124	61
gene-AUO97_RS00300	NZ_CP018664.1	53389	54333	+	945	62	10	25	12	12	82	6	133	103	96	36	95	13	11	28	106	70	0
gene-AUO97_RS00305	NZ_CP018664.1	54377	55522	-	1146	263	13	113	15	41	328	26	447	496	504	365	302	28	5	117	489	448	5
gene-AUO97_RS00310	NZ_CP018664.1	55686	57044	-	1359	1046	112	227	112	178	1207	104	2098	1589	2118	1063	1263	126	64	323	1840	1377	51
gene-AUO97_RS00320	NZ_CP018664.1	57543	58556	+	1014	365	46	198	48	109	463	53	447	512	556	244	359	69	51	219	478	402	21
gene-AUO97_RS00325	NZ_CP018664.1	58758	59030	-	273	593	63	169	71	112	678	69	625	672	733	326	652	49	41	284	733	521	36
gene-AUO97_RS00330	NZ_CP018664.1	59027	59935	-	909	1404	213	584	268	351	1673	268	1468	1742	1506	811	1455	220	142	823	1751	1265	111
gene-AUO97_RS00335	NZ_CP018664.1	60121	62517	+	2397	2552	557	1684	575	1006	3595	591	2908	3628	3040	2102	2453	641	373	2328	3612	2832	219
gene-AUO97_RS00340	NZ_CP018664.1	62538	63089	+	552	573	88	302	178	208	702	221	577	742	604	429	468	98	106	386	725	587	76
gene-AUO97_RS00345	NZ_CP018664.1	63111	64010	-	900	224	11	71	37	32	254	37	267	267	237	131	203	20	4	86	252	223	5
gene-AUO97_RS00350	NZ_CP018664.1	64147	64317	+	171	210	17	127	43	85	185	65	370	253	741	333	297	22	3	147	292	461	11
gene-AUO97_RS00355	NZ_CP018664.1	64383	65741	-	1359	182	11	46	17	36	190	26	221	189	186	108	183	13	7	69	194	173	5
gene-AUO97_RS00360	NZ_CP018664.1	65738	66400	-	663	93	4	19	10	12	94	14	109	110	94	56	99	2	4	43	114	91	1
gene-AUO97_RS00365	NZ_CP018664.1	66508	66867	-	360	90	22	72	29	54	114	37	126	147	100	75	97	49	12	54	117	119	13
gene-AUO97_RS00370	NZ_CP018664.1	66949	68706	-	1758	71	23	21	12	15	96	21	69	86	71	48	63	11	9	47	73	81	8
gene-AUO97_RS00375	NZ_CP018664.1	68994	70262	+	1269	104	21	51	14	18	130	27	112	143	123	84	107	19	13	63	106	104	9
gene-AUO97_RS00380	NZ_CP018664.1	70272	71000	-	729	117	18	51	13	18	155	17	154	145	153	81	140	18	13	77	151	124	3
gene-AUO97_RS00385	NZ_CP018664.1	71105	71884	+	780	551	28	134	58	70	587	59	665	602	547	322	485	41	40	180	716	477	18
gene-AUO97_RS00390	NZ_CP018664.1	71939	72808	-	870	4	0	0	0	0	3	1	5	5	1	2	1	0	0	2	4	2	0
gene-AUO97_RS00395	NZ_CP018664.1	73038	74504	+	1467	115	8	68	17	32	135	12	159	133	129	63	106	12	6	59	145	105	6
gene-AUO97_RS00400	NZ_CP018664.1	74561	75931	+	1371	426	27	218	39	62	755	23	611	851	512	403	390	36	35	297	708	541	24
gene-AUO97_RS00405	NZ_CP018664.1	75934	76197	+	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS00410	NZ_CP018664.1	76433	76762	+	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS00415	NZ_CP018664.1	76835	77611	-	777	52	17	31	14	25	48	14	34	55	39	25	64	16	6	25	44	45	11
gene-AUO97_RS00420	NZ_CP018664.1	77621	78334	-	714	27	4	11	4	6	23	4	19	29	18	7	24	3	1	12	23	11	3
gene-AUO97_RS00425	NZ_CP018664.1	78331	79020	-	690	24	4	6	1	3	37	4	13	29	12	10	40	3	0	15	20	12	1
gene-AUO97_RS00430	NZ_CP018664.1	79112	79897	-	786	50	5	17	6	11	68	9	41	44	33	19	62	9	2	29	57	23	4
gene-AUO97_RS00435	NZ_CP018664.1	80072	81103	-	1032	142	12	59	20	27	148	24	173	183	208	87	131	16	12	70	180	153	11
gene-AUO97_RS00440	NZ_CP018664.1	81301	82518	+	1218	38	5	9	7	9	26	9	36	46	34	17	19	3	3	17	24	26	1
gene-AUO97_RS00445	NZ_CP018664.1	82525	85704	+	3180	72	21	37	8	12	67	13	64	77	69	56	49	8	13	36	83	60	10
gene-AUO97_RS00450	NZ_CP018664.1	85717	87165	+	1449	46	5	18	10	13	62	14	56	58	39	31	48	9	9	26	76	49	6
gene-AUO97_RS00455	NZ_CP018664.1	87206	88459	-	1254	4442	280	1201	507	687	4895	656	6272	5701	5808	3242	4568	443	306	1517	6606	4505	247
gene-AUO97_RS19300	NZ_CP018664.1	88520	88681	+	162	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene-AUO97_RS00460	NZ_CP018664.1	88705	89934	-	1230	55	10	30	14	16	47	16	80	74	109	66	52	7	5	23	68	73	2
gene-AUO97_RS00465	NZ_CP018664.1	90184	90870	+	687	110	3	25	8	5	138	11	124	117	108	70	105	2	3	40	144	109	4
gene-AUO97_RS00470	NZ_CP018664.1	91015	91650	+	636	27	4	8	4	2	34	1	27	37	29	11	38	1	1	14	25	16	0
gene-AUO97_RS00475	NZ_CP018664.1	91750	91826	+	77	16	1	4	4	1	20	1	11	16	20	4	12	1	0	5	15	8	1
gene-AUO97_RS00480	NZ_CP018664.1	91944	92879	+	936	436	13	48	16	29	367	25	483	363	297	189	431	24	21	77	480	287	11
gene-AUO97_RS00485	NZ_CP018664.1	92876	93649	+	774	536	16	58	11	26	531	27	586	411	382	213	566	22	23	79	576	317	9
gene-AUO97_RS00490	NZ_CP018664.1	93646	94458	+	813	930	37	179	49	72	915	57	1104	915	755	434	985	60	38	205	1075	653	17
gene-AUO97_RS00495	NZ_CP018664.1	94482	95132	+	651	1113	47	225	89	121	1073	91	1556	1364	1101	722	1143	75	62	273	1466	952	22
gene-AUO97_RS00500	NZ_CP018664.1	95261	96403	+	1143	584	19	74	35	39	667	25	910	791	485	293	639	21	9	90	954	414	12
gene-AUO97_RS00505	NZ_CP018664.1	96423	97424	+	1002	1084	51	262	73	118	1248	75	1603	1646	1159	715	1099	96	36	325	1642	1047	32
gene-AUO97_RS00510	NZ_CP018664.1	97715	98332	+	618	2807	70	450	150	202	2935	159	3814	3754	2177	1292	3014	104	54	546	4092	2123	61
gene-AUO97_RS00515	NZ_CP018664.1	98889	99341	+	453	68	16	47	47	23	62	51	114	102	99	63	63	25	20	39	95	77	16
gene-AUO97_RS00520	NZ_CP018664.1	99382	99699	-	318	23	3	7	4	1	20	4	25	17	27	12	31	0	0	2	20	21	0
gene-AUO97_RS00525	NZ_CP018664.1	99701	100417	-	717	40	3	14	5	7	39	12	26	47	35	28	44	2	1	10	52	41	1
gene-AUO97_RS00530	NZ_CP018664.1	100512	101336	-	825	93	2	29	14	9	121	8	120	142	112	80	118	7	3	40	138	100	2
gene-AUO97_RS00535	NZ_CP018664.1	101434	101919	-	486	83	1	3	1	3	83	7	76	106	47	37	70	2	2	7	80	56	3
gene-AUO97_RS00540	NZ_CP018664.1	101985	102860	-	876	10118	2212	4006	1542	3282	10185	1869	15794	13784	15292	8537	11420	2505	1055	4766	15057	11609	841
gene-AUO97_RS00545	NZ_CP018664.1	102998	103750	-	753	21659	11502	11526	6912	12265	24814	8893	34985	30669	27806	16812	27375	11580	6374	13482	34235	21382	4979
gene-AUO97_RS00550	NZ_CP018664.1	103960	104787	+	828	752	51	241	98	130	894	114	1083	1086	831	470	808	77	31	326	1072	720	31
gene-AUO97_RS00555	NZ_CP018664.1	104992	106110	+	1119	101	2	19	5	6	107	14	79	121	67	69	74	5	5	24	124	92	4
gene-AUO97_RS00560	NZ_CP018664.1	106523	107869	+	1347	66	8	22	15	16	41	27	44	72	54	27	40	4	5	40	64	45	10
gene-AUO97_RS00565	NZ_CP018664.1	108044	109258	+	1215	118	15	34	14	20	99	24	136	118	113	64	98	4	6	50	116	109	10
gene-AUO97_RS00570	NZ_CP018664.1	109502	110914	-	1413	2693	455	1204	456	831	3147	590	3454	3458	3398	1870	2702	568	310	1428	3582	2742	210
gene-AUO97_RS00575	NZ_CP018664.1	111111	112124	+	1014	2388	331	808	336	567	2696	424	2859	2957	2717	1573	2580	367	232	1136	2992	2211	180
gene-AUO97_RS00580	NZ_CP018664.1	112408	114873	+	2466	8235	2628	6373	2616	4476	12622	2976	8470	12983	11571	9133	6663	3129	1807	8502	11518	13122	1247
gene-AUO97_RS00585	NZ_CP018664.1	114977	115360	+	384	761	96	393	132	204	1175	126	770	1162	892	636	665	122	83	590	1076	953	80
gene-AUO97_RS00590	NZ_CP018664.1	115399	115935	-	537	121	11	43	5	17	169	14	114	135	89	66	121	12	8	59	136	84	7
gene-AUO97_RS00595	NZ_CP018664.1	116157	117539	+	1383	4458	492	1343	429	947	5199	556	6428	5915	4887	2938	5057	670	327	1717	6441	4025	215
gene-AUO97_RS00600	NZ_CP018664.1	117611	118447	+	837	1237	144	351	111	240	1534	132	1909	1817	1465	932	1379	178	68	442	1998	1223	80
gene-AUO97_RS00605	NZ_CP018664.1	118466	119188	+	723	343	27	85	23	38	383	39	461	452	327	217	357	19	10	86	483	283	23
gene-AUO97_RS00610	NZ_CP018664.1	119323	122172	+	2850	605	21	145	43	94	675	56	689	757	566	355	583	43	21	197	707	483	19
gene-AUO97_RS00615	NZ_CP018664.1	122409	124679	+	2271	5581	644	1742	719	1206	6512	786	9629	8201	9553	5107	6870	831	521	2537	8538	7187	347
gene-AUO97_RS00620	NZ_CP018664.1	124771	126009	+	1239	1297	162	472	210	194	1650	239	1492	1639	1300	739	1217	178	113	668	1585	1091	93
gene-AUO97_RS00625	NZ_CP018664.1	126059	127234	-	1176	836	93	258	98	136	951	108	972	1073	1089	697	673	92	49	400	1085	958	40
gene-AUO97_RS00630	NZ_CP018664.1	127428	128186	+	759	381	16	80	31	40	414	21	527	527	578	263	412	28	14	142	549	446	13
gene-AUO97_RS00635	NZ_CP018664.1	128332	128958	+	627	10376	2610	7413	2971	4382	13268	3671	12372	15510	14533	9600	10621	3262	1733	9629	15755	13387	1323
gene-AUO97_RS00640	NZ_CP018664.1	129105	129180	+	76	15	2	7	2	1	16	1	20	23	8	7	20	0	1	18	17	9	0
gene-AUO97_RS00645	NZ_CP018664.1	129189	129264	+	76	11	2	4	2	1	13	1	13	13	4	5	13	0	0	13	14	4	0
gene-AUO97_RS00650	NZ_CP018664.1	129443	129518	+	76	20	0	0	1	0	17	1	14	11	5	7	15	0	0	2	8	9	0
gene-AUO97_RS00655	NZ_CP018664.1	129575	130018	+	444	55	0	12	6	5	81	8	78	58	30	22	50	0	1	10	63	40	0
gene-AUO97_RS00660	NZ_CP018664.1	130028	130228	-	201	42	0	16	4	4	59	6	62	46	33	17	53	0	3	11	57	40	0
gene-AUO97_RS00665	NZ_CP018664.1	130340	131797	-	1458	152	41	156	38	72	214	50	210	298	388	369	117	65	27	140	255	484	12
gene-AUO97_RS00670	NZ_CP018664.1	131908	132786	-	879	362	27	78	25	53	355	25	360	370	377	207	341	34	17	99	369	253	12
gene-AUO97_RS00675	NZ_CP018664.1	132783	133292	-	510	214	19	56	11	25	230	19	259	251	236	104	254	16	14	78	235	174	5
gene-AUO97_RS00680	NZ_CP018664.1	133418	134833	-	1416	7516	1506	3184	1273	2259	10843	1410	10349	11548	11255	6543	9399	1670	944	4360	11229	8961	643
gene-AUO97_RS00685	NZ_CP018664.1	135568	137109	+	1542	675	52	244	91	138	924	105	1182	1360	1868	1154	658	74	53	342	1216	1577	38
gene-AUO97_RS00690	NZ_CP018664.1	137106	138908	+	1803	956	111	385	176	224	1343	155	1496	1780	2473	1477	931	133	90	578	1610	1951	72
gene-AUO97_RS00695	NZ_CP018664.1	139204	139788	+	585	468	38	160	72	78	587	80	468	506	374	194	401	59	37	161	476	335	23
gene-AUO97_RS00700	NZ_CP018664.1	139885	142656	-	2772	671	273	656	235	460	974	215	949	1203	1189	881	682	342	144	835	1112	1197	84
gene-AUO97_RS00705	NZ_CP018664.1	142664	145396	-	2733	64	7	37	9	20	99	18	75	90	86	50	81	15	7	38	81	88	5
gene-AUO97_RS00710	NZ_CP018664.1	145752	146801	+	1050	1109	43	264	77	146	1138	83	1226	1374	927	520	1175	81	46	354	1327	822	38
gene-AUO97_RS00715	NZ_CP018664.1	146811	147617	+	807	873	67	193	56	127	995	81	1053	1102	756	494	903	82	39	262	1129	635	27
gene-AUO97_RS00720	NZ_CP018664.1	147627	148322	+	696	502	25	104	32	46	569	52	538	633	434	258	480	37	25	127	618	382	13
gene-AUO97_RS00725	NZ_CP018664.1	148333	149316	-	984	109	16	54	21	28	131	21	104	160	127	79	94	22	12	72	138	107	14
gene-AUO97_RS00730	NZ_CP018664.1	149323	151698	-	2376	212	38	135	38	73	255	58	227	300	324	204	187	52	28	157	266	311	20
gene-AUO97_RS00735	NZ_CP018664.1	151700	153199	-	1500	113	11	58	35	29	134	36	112	154	185	127	92	6	12	83	176	151	10
gene-AUO97_RS00740	NZ_CP018664.1	153462	154010	+	549	612	20	101	36	42	676	55	597	648	424	251	653	23	12	150	767	425	18
gene-AUO97_RS00745	NZ_CP018664.1	154172	155323	+	1152	14095	4810	9935	3506	8773	18020	4087	20351	21881	22656	12864	15653	6454	2089	12240	21566	17030	1534
gene-AUO97_RS00750	NZ_CP018664.1	155391	157283	-	1893	1209	52	295	49	137	1435	54	1711	1523	893	565	1344	92	30	292	1441	817	28
gene-AUO97_RS00760	NZ_CP018664.1	157965	158759	-	795	178	11	36	17	21	141	25	194	182	125	71	174	22	5	41	225	114	7
gene-AUO97_RS00765	NZ_CP018664.1	158766	159839	-	1074	566	23	84	29	47	530	37	749	661	573	313	577	45	26	118	744	522	20
gene-AUO97_RS00770	NZ_CP018664.1	160139	161386	+	1248	3664	344	1325	410	658	4373	495	4446	5041	4901	3083	3180	413	245	1675	5366	4484	184
gene-AUO97_RS00775	NZ_CP018664.1	161507	162676	-	1170	67	11	21	4	14	63	15	88	74	156	63	59	5	5	34	86	117	5
gene-AUO97_RS00780	NZ_CP018664.1	162801	163556	-	756	37	4	8	9	6	28	3	25	25	26	10	25	2	2	7	29	29	1
gene-AUO97_RS00785	NZ_CP018664.1	163567	164301	-	735	42	4	14	4	7	35	6	42	36	38	12	32	3	3	13	31	31	3
gene-AUO97_RS00790	NZ_CP018664.1	164374	165969	-	1596	86	24	33	12	25	80	15	92	81	105	43	105	33	6	43	86	83	3
gene-AUO97_RS00795	NZ_CP018664.1	165966	167576	-	1611	73	20	28	7	21	90	16	102	90	112	42	90	26	2	31	89	72	0
gene-AUO97_RS00800	NZ_CP018664.1	167822	168973	-	1152	38	5	9	3	7	27	11	43	42	65	34	47	6	1	29	37	44	2
gene-AUO97_RS00805	NZ_CP018664.1	169091	169960	-	870	33	3	12	1	18	38	4	66	45	87	20	46	8	1	16	36	48	2
gene-AUO97_RS00810	NZ_CP018664.1	169978	171606	-	1629	29	2	23	6	9	35	9	58	43	124	17	45	5	0	11	46	56	1
gene-AUO97_RS00815	NZ_CP018664.1	171768	174710	+	2943	98	13	30	15	21	109	16	125	97	175	51	118	14	4	44	96	78	6
gene-AUO97_RS00820	NZ_CP018664.1	174758	176068	+	1311	63	23	41	10	19	63	24	55	44	59	23	58	24	14	37	55	50	4
gene-AUO97_RS00825	NZ_CP018664.1	176138	178465	-	2328	10	3	8	0	3	9	1	15	14	25	5	11	8	0	10	13	22	1
gene-AUO97_RS00830	NZ_CP018664.1	178551	179519	-	969	40	13	38	3	17	54	11	56	52	93	27	41	12	11	34	42	43	5
gene-AUO97_RS00835	NZ_CP018664.1	179526	180296	-	771	22	2	11	1	6	17	6	13	16	34	12	23	4	2	12	15	25	2
gene-AUO97_RS00840	NZ_CP018664.1	180293	181240	-	948	17	3	2	1	4	19	1	15	4	17	7	11	4	1	6	12	13	1
gene-AUO97_RS00845	NZ_CP018664.1	181240	182181	-	942	6	3	0	1	0	5	2	13	3	5	1	5	1	0	1	5	4	0
gene-AUO97_RS19870	NZ_CP018664.1	182181	182312	-	132	3	0	3	0	0	0	1	2	1	0	0	1	0	0	0	1	1	0
gene-AUO97_RS00850	NZ_CP018664.1	182813	184840	+	2028	31	6	18	6	15	42	11	54	37	79	36	37	5	5	39	48	42	5
gene-AUO97_RS00855	NZ_CP018664.1	184911	186758	-	1848	32	5	12	1	5	42	8	46	55	89	32	35	3	2	29	38	56	0
gene-AUO97_RS00860	NZ_CP018664.1	187151	188011	+	861	35	2	10	7	7	25	8	67	43	87	27	33	3	1	16	49	35	3
gene-AUO97_RS00865	NZ_CP018664.1	188008	188631	-	624	44	5	13	4	5	44	9	74	45	82	32	34	7	4	16	44	32	8
gene-AUO97_RS00870	NZ_CP018664.1	188885	189853	+	969	46	2	7	6	4	42	13	52	32	63	29	32	5	2	11	35	38	0
gene-AUO97_RS00875	NZ_CP018664.1	190098	190784	+	687	225	88	172	136	126	274	120	222	372	249	164	150	92	63	252	321	223	40
gene-AUO97_RS19535	NZ_CP018664.1	190819	191058	-	240	85	15	30	15	25	71	32	73	82	77	45	62	11	7	45	98	79	9
