Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SERP_tRNA-Arg-3	14	2	9	6	8	4	3	9	1	1	5	3	host	gene-SERP_tRNA-Arg-3
gene-SERP2444	1	14	21	26	11	12	6	14	19	6	8	9	host	gene-SERP2444
gene-FDH45_gp089	0	0	0	6	797	0	7522	766	1216	17924	12325	17274	phage	gene-FDH45_gp089
gene-SERP1868	6	12	2	11	32	21	16	18	27	13	35	20	host	gene-SERP1868
gene-SERP1164	102	88	140	250	172	110	254	182	151	138	158	210	host	gene-SERP1164
gene-SERP1911	140	106	80	203	151	99	187	168	97	67	112	88	host	gene-SERP1911
gene-SERP0983	407	123	85	600	159	212	341	68	102	210	126	180	host	gene-SERP0983
gene-SERP0870	4494	4644	3470	5001	2893	4116	3630	3837	2665	1971	2268	2393	host	miaA
gene-SERP0629	1309	1509	1344	2947	1763	1403	3109	2431	1891	1278	1840	1819	host	gene-SERP0629
gene-SERP1107	17	24	15	56	14	26	12	7	9	10	15	12	host	comGC
gene-SERP0768	15432	3135	4162	10894	1865	2984	6655	2447	1601	2552	1447	2425	host	carA
gene-SERP2281	35358	40115	40415	45435	33839	30772	36024	45513	23084	11065	17713	18116	host	gene-SERP2281
gene-SERP1166	36	82	97	246	158	116	137	120	105	89	157	150	host	mtn
gene-SERP1525	7	12	9	9	38	34	3	34	27	1	21	28	host	gene-SERP1525
gene-SERP2513	155	193	169	375	542	275	126	700	609	56	451	603	host	gene-SERP2513
gene-SERP0131	335	595	470	955	590	522	460	903	489	242	363	402	host	ksgA
gene-SERP2416	33	5	3	81	7	24	35	0	3	10	8	13	host	gene-SERP2416
gene-SERP0056	53	22	18	54	22	30	52	30	33	40	33	59	host	gene-SERP0056
gene-SERP1964	51	252	160	221	243	229	171	369	234	70	209	234	host	gene-SERP1964
gene-SERP1342	218	1042	846	1375	1534	1404	505	1978	1347	222	939	966	host	gene-SERP1342
gene-SERP0408	4044	929	764	2558	1028	1148	1130	656	1003	624	1305	1192	host	gene-SERP0408
gene-SERP0370	1824	2066	692	3302	1809	1501	3197	1776	1340	1481	1382	1478	host	gene-SERP0370
gene-SERP2293	374	1703	1538	656	1596	1596	529	2344	1540	247	1244	1224	host	icaA
gene-SERP2439	3522	5813	5011	10585	4165	5409	6998	4340	3728	3726	3280	3701	host	gene-SERP2439
gene-SERP1123	2240	835	1130	1649	593	833	737	956	477	234	377	538	host	nfo
gene-SERP0421	422	872	772	1235	1156	872	862	1714	1280	440	1182	1287	host	prfB
gene-SERP0389	143	215	135	303	347	163	225	433	308	105	288	269	host	gene-SERP0389
gene-SERP1813	292	406	334	319	352	287	581	577	343	461	1456	1056	host	rpmD
gene-SERP1414	5	29	24	47	78	64	44	59	57	22	87	36	host	gene-SERP1414
gene-SERP0147	695	1406	1120	1727	1649	1901	811	2291	1440	414	1356	1089	host	gene-SERP0147
gene-SERP_tRNA-Lys-2	71	386	363	54	836	216	163	715	393	103	1113	437	host	gene-SERP_tRNA-Lys-2
gene-SERP1565	0	1	2	3	5	1	0	5	2	0	0	1	host	gene-SERP1565
gene-SERP1616	2	3	0	19	8	4	11	12	6	6	9	8	host	gene-SERP1616
gene-SERP1870	17	19	8	55	36	13	92	39	27	77	50	68	host	ureB
gene-SERP0474	8292	1336	200	17320	882	4394	3433	114	763	547	302	502	host	gene-SERP0474
gene-SERP2161	137	113	142	297	145	220	194	182	193	129	111	138	host	gene-SERP2161
gene-SERP1898	359	586	544	704	532	500	505	642	398	236	453	363	host	gene-SERP1898
gene-SERP0682	17885	17950	18947	15670	10431	12343	9847	15331	5301	4176	5631	4816	host	pdhC
gene-FDH45_gp010	0	0	0	13	233	50	780	262	262	2997	1009	1233	phage	gene-FDH45_gp010
gene-SERP0701	936	2180	1198	4972	3042	2564	2677	2174	2950	1335	3086	2631	host	gene-SERP0701
gene-SERP0793	822	643	523	2055	632	743	781	700	566	264	338	327	host	recG
gene-SERP1974	96	126	60	259	201	119	136	93	209	118	332	234	host	gene-SERP1974
gene-SERP0410	673	2562	2075	1478	2589	1853	1302	3518	2203	597	1806	1872	host	pepT
gene-FDH45_gp152	0	2	3	226431	296782	52389	742972	379705	573268	611908	645966	538453	phage	gene-FDH45_gp152
gene-SERP2140	107	486	488	525	516	530	348	682	413	165	364	335	host	gene-SERP2140
gene-SERP0854	80	81	7	248	184	159	51	11	21	36	38	26	host	gene-SERP0854
gene-SERP0641	175	223	135	886	282	365	483	181	390	251	470	715	host	gene-SERP0641
gene-SERP2113	43	30	11	127	51	53	90	8	23	44	51	29	host	gene-SERP2113
gene-SERP2490	145	207	217	195	276	136	177	334	170	84	193	169	host	kdeP
gene-FDH45_gp131	0	0	0	245	3611	13	20412	559	2537	21692	11410	9209	phage	gene-FDH45_gp131
gene-FDH45_gp037	0	0	0	2	1516	3	16115	1652	2761	24864	10443	19164	phage	gene-FDH45_gp037
gene-SERP1972	51	67	24	211	84	75	162	71	101	72	98	139	host	gene-SERP1972
gene-SERP2445	14	80	68	87	39	77	31	61	52	27	47	34	host	gene-SERP2445
gene-SERP0706	516	1601	1178	2016	2395	1291	1911	2244	1593	709	1919	1330	host	ctaB
gene-FDH45_gp098	0	0	0	58	2802	0	32617	1660	5237	36479	17211	25895	phage	gene-FDH45_gp098
gene-SERP0763	66	170	116	250	372	110	361	519	357	193	546	510	host	gene-SERP0763
gene-SERP2373	27	123	78	198	170	120	89	187	113	33	57	75	host	gene-SERP2373
gene-SERP0749	188	340	297	500	658	348	780	828	601	323	883	937	host	gene-SERP0749
gene-FDH45_gp079	0	0	0	9	1428	2	12710	1184	2077	25160	15626	22394	phage	gene-FDH45_gp079
gene-SERP0508	63	74	72	234	178	98	111	177	146	68	138	170	host	gene-SERP0508
gene-SERP0530	52	233	192	151	545	187	438	652	476	219	637	730	host	gene-SERP0530
gene-SERP0582	2953	4254	4104	9256	5352	5292	3619	6271	3667	1489	2933	3444	host	gene-SERP0582
gene-SERP0672	173	139	100	240	175	102	157	195	152	66	233	194	host	cydA
gene-SERP1804	1550	1630	1328	2147	1867	1093	2877	2524	1551	1557	3414	2758	host	rplQ
gene-FDH45_gp112	0	0	0	63	1436	2	19516	447	2675	19647	9012	15940	phage	gene-FDH45_gp112
gene-SERP2287	98	77	45	178	129	79	81	185	139	48	111	137	host	gene-SERP2287
gene-SERP0958	10	51	53	28	78	22	58	106	65	22	58	36	host	gene-SERP0958
gene-SERP1092	20	76	70	80	47	107	41	66	38	12	23	43	host	argC
gene-SERP1266	3859	4317	3485	3576	3146	3866	3577	3596	2275	1366	1990	2056	host	dnaE
gene-SERP1417	53	566	492	695	786	426	306	1169	807	164	643	644	host	gene-SERP1417
gene-SERP1042	232	625	469	839	1022	410	877	1545	1033	367	1203	1128	host	gpsA
gene-SERP0769	11269	3218	3962	6747	1776	2817	5217	2496	1398	2756	1864	3366	host	carB
gene-SERP1401	233	672	803	679	874	614	452	1067	603	200	691	459	host	hemL-2
gene-SERP0195	371	1642	1293	2067	1779	1292	1188	2478	1511	324	695	807	host	ilvE
gene-SERP1502	1723	773	609	1967	712	1290	895	491	646	398	483	404	host	gene-SERP1502
gene-SERP0010	720	497	544	841	315	422	596	503	269	311	296	330	host	gene-SERP0010
gene-SERP2201	565	85	108	671	186	99	419	215	167	196	191	277	host	gene-SERP2201
gene-SERP0345	135	96	61	247	134	109	150	46	103	71	118	103	host	gene-SERP0345
gene-SERP1471	187	313	192	447	252	332	378	150	256	176	247	350	host	gene-SERP1471
gene-FDH45_gp086	0	0	0	0	4161	1	43174	4965	7678	71030	30952	61827	phage	gene-FDH45_gp086
gene-SERP1854	327	352	451	437	308	343	349	463	224	212	315	320	host	mobB
gene-SERP1372	915	712	617	1191	556	776	552	705	549	216	364	426	host	gene-SERP1372
gene-SERP2024	242	248	205	465	326	211	249	443	287	130	298	322	host	lytS
gene-SERP2141	128	176	132	275	258	191	120	304	184	80	162	186	host	gene-SERP2141
gene-SERP1224	3425	3727	3747	7366	2898	5450	2258	3518	2223	874	1203	1239	host	tnpA-1
gene-SERP2447	9	8	3	18	12	12	4	7	13	21	27	27	host	gene-SERP2447
gene-SERP0119	146	378	329	467	372	358	190	451	294	66	224	228	host	gene-SERP0119
gene-SERP0735	105	332	208	456	515	286	574	610	502	215	502	460	host	gene-SERP0735
gene-SERP0032	60	725	634	477	1101	405	610	1552	906	356	1650	1454	host	gene-SERP0032
gene-SERP0360	133	92	84	201	135	80	165	209	174	115	136	184	host	nagA
gene-SERP1002	1844	2287	2533	2641	1893	1907	1496	2379	1689	559	930	1064	host	folA-1
gene-SERP0925	435	339	348	1144	540	290	947	843	625	527	773	964	host	parE
gene-SERP1026	423	913	768	714	863	814	669	1097	949	212	626	595	host	birA
gene-SERP1667	15	18	5	13	8	15	49	9	18	10	4	9	host	gene-SERP1667
gene-SERP2385	16	32	20	38	38	26	25	40	37	9	56	50	host	gene-SERP2385
gene-FDH45_gp056	0	0	0	29	3373	0	37723	3639	6123	72883	32316	43442	phage	gene-FDH45_gp056
gene-SERP2472	177	177	149	476	4485	197	14516	5914	6664	7172	7359	8387	host	hsdM
gene-FDH45_gp087	0	0	0	162	5755	7	55890	3082	8954	88610	36733	57802	phage	gene-FDH45_gp087
gene-SERP1138	13191	2491	2338	4147	1982	2740	2008	2566	1708	895	1195	1199	host	gene-SERP1138
gene-SERP1075	150	921	1055	437	694	793	324	1081	546	155	562	579	host	gene-SERP1075
gene-SERP0843	1364	796	688	1522	1265	718	1663	1591	1225	668	1091	1283	host	gene-SERP0843
gene-SERP2100	46	119	118	178	91	87	70	154	76	128	235	248	host	rbsK
gene-SERP1926	48	105	86	458	156	124	123	190	139	21	114	113	host	galM
gene-SERP1803	100	252	242	573	455	419	257	505	396	123	319	364	host	gene-SERP1803
gene-SERP0924	264	781	598	941	898	1110	434	1092	721	214	405	509	host	gene-SERP0924
gene-SERP1169	327	450	402	1009	626	372	962	824	686	263	321	569	host	gene-SERP1169
gene-SERP0448	181	355	252	887	853	481	586	973	917	459	1118	819	host	secG
gene-SERP1824	310	523	478	299	984	428	1300	1428	869	762	2947	2099	host	rplP
gene-SERP1644	41	33	28	25	32	45	16	20	18	6	37	24	host	gene-SERP1644
gene-SERP1890	4	5	1	17	15	9	21	26	26	4	29	32	host	gene-SERP1890
gene-SERP2332	107	141	73	252	77	97	172	128	87	58	84	100	host	gene-SERP2332
gene-SERP2290	3	7	4	5	5	3	7	18	8	2	20	10	host	gene-SERP2290
gene-SERP2547	67	174	145	439	272	163	307	434	272	198	437	461	host	gene-SERP2547
gene-SERP1447	332	576	663	340	399	479	419	591	334	189	325	364	host	gene-SERP1447
gene-SERP1756	409	1290	955	1123	1346	943	1389	1548	1058	923	2150	2362	host	gene-SERP1756
gene-SERP0210	108	125	91	268	160	172	118	179	165	49	121	123	host	gene-SERP0210
gene-SERP1128	1971	2617	2039	5382	2436	2569	2773	2813	2135	1105	1866	2137	host	dnaG
gene-SERP0318	323	1921	1342	891	8990	2072	509	12321	6064	182	3375	1863	host	gene-SERP0318
gene-SERP0885	1370	2573	2242	3834	2604	2131	2697	2944	2568	1092	2214	2823	host	cls-1
gene-SERP0531	13	39	26	73	97	38	124	129	97	73	145	159	host	gene-SERP0531
gene-SERP0945	131	477	218	778	450	853	204	359	374	74	264	279	host	gene-SERP0945
gene-SERP1902	794	4067	3092	1915	3078	2688	1359	3344	2008	513	1317	1565	host	gene-SERP1902
gene-SERP1277	3293	8222	6991	3915	4289	7859	1802	4255	2785	850	2058	1722	host	gene-SERP1277
gene-SERP0874	299	330	244	591	499	213	706	719	534	341	869	847	host	gene-SERP0874
gene-SERP0984	150	59	35	235	60	78	105	48	33	48	54	63	host	gene-SERP0984
gene-SERP2027	148	221	195	208	252	199	219	324	198	150	228	280	host	lrgB
gene-SERP1751	104	179	162	310	233	228	212	166	210	136	209	196	host	gene-SERP1751
gene-SERP1492	13237	3668	4116	12596	3235	4225	8722	3224	3225	4356	1518	1934	host	agrC
gene-SERP0604	2209	5224	3818	2554	3884	5413	1291	2991	2614	644	1663	1275	host	gene-SERP0604
gene-SERP1657	62	147	94	554	482	178	259	388	332	162	533	359	host	gene-SERP1657
gene-SERP1067	7663	15889	16410	19555	11599	14419	22784	13172	8946	10382	10245	9812	host	zwf-2
gene-SERP1153	20	78	90	74	395	60	220	231	294	407	1474	631	host	rpsT
gene-SERP1958	7012	2914	2476	7010	2662	2848	2631	3041	2130	783	1432	1550	host	gene-SERP1958
gene-SERP1955	2437	3357	3279	3256	2304	2952	2124	2924	1535	941	1420	1280	host	mqo-1
gene-SERP0832	216	406	259	1582	587	661	660	986	697	309	534	509	host	gene-SERP0832
gene-SERP1220	1400	4617	3803	6751	6938	5319	3239	7892	6374	1332	4797	4753	host	ermA-1
gene-FDH45_gp200	0	0	0	5	186	3	1245	288	382	2007	1265	2275	phage	gene-FDH45_gp200
gene-SERP1052	141	1002	582	611	913	811	289	1806	818	77	670	407	host	gene-SERP1052
gene-SERP2542	91	27	20	51	42	43	38	43	35	10	33	44	host	gene-SERP2542
gene-SERP1198	156	639	569	489	796	532	466	1048	728	308	920	820	host	apt
gene-SERP2085	4320	7882	4780	4673	3051	6717	1554	3724	2106	732	895	984	host	gene-SERP2085
gene-SERP0341	116	150	113	358	242	112	478	319	308	241	294	343	host	gene-SERP0341
gene-SERP0590	166	785	413	284	975	548	671	1152	681	335	883	786	host	gene-SERP0590
gene-SERP1017	987	1722	1164	3294	1958	1566	2012	2451	2401	740	1792	1944	host	gene-SERP1017
gene-SERP1082	1196	1300	959	1636	1125	1176	1307	1482	1012	486	1010	1110	host	ispA
gene-FDH45_gp130	0	0	0	597	6403	71	32198	7248	12829	37799	27791	23662	phage	gene-FDH45_gp130
gene-SERP0323	96	211	239	480	368	213	514	567	466	310	454	644	host	gene-SERP0323
gene-SERP0302	4	11	3	23	11	12	18	1	10	18	12	14	host	gene-SERP0302
gene-SERP2170	6119	16431	10316	5284	7125	10855	1352	9525	1683	397	638	572	host	ppdK
gene-SERP1249	93	501	493	729	484	623	314	725	507	166	360	438	host	gene-SERP1249
gene-SERP1764	304	763	502	1213	698	732	801	593	646	379	560	573	host	gene-SERP1764
gene-SERP1949	91	101	93	110	66	105	63	90	78	24	44	80	host	tcaR
gene-SERP0542	1019	1116	945	9629	3710	1838	7699	4240	4571	2589	2846	3640	host	gene-SERP0542
gene-FDH45_gp018	0	0	0	56	365	199	1787	518	397	4419	3834	4891	phage	gene-FDH45_gp018
gene-SERP1517	9	41	40	52	65	55	13	53	70	9	48	60	host	gene-SERP1517
gene-SERP2059	73	185	179	201	196	373	62	271	117	221	236	264	host	gntR
gene-SERP1840	4244	549	351	3557	751	590	2418	637	614	793	708	884	host	gene-SERP1840
gene-SERP0809	151	384	211	542	386	404	210	373	354	81	333	323	host	gene-SERP0809
gene-SERP1286	61	163	190	186	134	173	102	257	144	44	90	87	host	gene-SERP1286
gene-SERP2366	101	219	381	179	193	336	109	233	145	60	142	136	host	pflB
gene-SERP2162	47	100	63	106	107	89	83	102	68	35	69	69	host	gene-SERP2162
gene-SERP1882	2613	984	936	3934	662	1028	1500	919	840	528	486	669	host	gene-SERP1882
gene-SERP0692	2379	9415	6912	17102	13852	8265	16402	13658	12166	5988	9830	11131	host	gene-SERP0692
gene-SERP2249	43	63	70	106	76	57	106	104	79	72	114	121	host	arcB-1
gene-SERP1554	0	0	3	1	5	3	3	4	1	4	5	4	host	gene-SERP1554
gene-SERP1959	15735	9004	10267	10197	4331	8992	3702	6021	3226	1083	1342	1134	host	gene-SERP1959
gene-FDH45_gp188	0	0	0	3	21	11	53	18	23	127	94	139	phage	gene-FDH45_gp188
gene-SERP2271	1189	5218	5062	2156	3727	4314	1380	5273	3159	861	2467	2272	host	gene-SERP2271
gene-FDH45_gp076	0	1	0	72	5962	1	22860	3594	8145	28963	25695	31089	phage	gene-FDH45_gp076
gene-SERP1846	87	154	152	311	254	160	253	304	265	144	281	285	host	gene-SERP1846
gene-SERP1068	146	266	265	253	189	219	409	260	134	143	144	128	host	gene-SERP1068
gene-SERP1478	64	54	44	225	118	73	161	125	143	83	131	167	host	gene-SERP1478
gene-SERP2294	154	703	622	274	620	645	220	936	657	89	528	476	host	icaD
gene-SERP0305	116	271	220	329	311	238	226	396	295	100	269	328	host	gene-SERP0305
gene-SERP1159	1078	1605	1055	2135	1228	1625	1157	1763	1155	511	1029	1091	host	gene-SERP1159
gene-SERP1202	354	903	717	1032	1337	1014	846	925	859	564	1425	985	host	yajC
gene-SERP1946	134	241	175	693	509	239	431	412	466	274	660	518	host	gene-SERP1946
gene-SERP0154	144	209	195	687	307	229	322	587	424	148	331	322	host	folB
gene-SERP0233	102	227	176	260	211	141	161	259	180	78	175	181	host	gene-SERP0233
gene-SERP_tRNA-Thr-1	115	1789	945	292	2602	806	328	2680	1387	260	1965	1041	host	gene-SERP_tRNA-Thr-1
gene-SERP1271	1605	1746	1420	2056	1662	1274	1833	2344	1213	1028	1434	924	host	pepQ
gene-SERP1784	309820	99922	124986	233258	49055	123156	81466	66042	43390	17884	13271	17727	host	gene-SERP1784
gene-SERP0070	468	898	697	567	1109	599	799	1489	909	533	1758	1644	host	guaA
gene-SERP0839	298	411	359	1898	636	459	1237	1028	796	665	789	973	host	ribF
gene-SERP0300	620	3989	3509	3078	4885	3484	2703	5951	5376	1390	4143	4212	host	tagD
gene-SERP1340	69	48	59	100	60	63	53	77	50	31	59	38	host	gene-SERP1340
gene-SERP0662	60	163	140	170	159	137	122	195	126	71	165	150	host	gene-SERP0662
gene-SERP2066	1773	1459	2288	1641	1076	1595	664	1501	1521	312	516	776	host	gene-SERP2066
gene-SERP1229	284	569	441	1224	516	928	373	562	423	138	258	215	host	gene-SERP1229
gene-SERP0547	59	68	39	93	55	68	48	54	39	21	36	37	host	gene-SERP0547
gene-SERP1780	683	605	573	2037	764	905	557	775	689	195	454	462	host	gene-SERP1780
gene-FDH45_gp192	0	0	0	155	9559	15	56514	8255	12317	92494	53374	42495	phage	gene-FDH45_gp192
gene-SERP0135	295273	115657	120806	246840	57714	114466	105319	86604	49666	29293	16200	20534	host	gene-SERP0135
gene-SERP2250	39	67	56	112	98	54	147	128	85	88	156	168	host	arcA
gene-SERP1852	483	478	469	567	276	365	362	540	254	140	254	342	host	moaD
gene-SERP0664	8	14	4	28	4	13	4	12	5	0	2	4	host	gene-SERP0664
gene-SERP1106	15	21	11	55	6	29	14	6	9	7	10	12	host	gene-SERP1106
gene-SERP0471	610	670	662	1770	518	894	280	631	370	76	209	208	host	gene-SERP0471
gene-SERP0823	3921	23521	17995	11238	16529	14836	10553	24856	10311	6626	16178	12589	host	rpsB
gene-SERP0040	297	422	490	674	435	538	316	564	338	158	321	283	host	gene-SERP0040
gene-SERP2038	200	362	339	455	305	379	200	482	360	98	209	340	host	gene-SERP2038
gene-SERP1030	37278	76157	73016	37164	50269	60360	26070	62365	26757	9648	22155	16054	host	gene-SERP1030
gene-SERP1865	42	101	87	225	253	113	107	365	219	35	181	128	host	gene-SERP1865
gene-SERP0568	160	587	576	591	840	373	948	1237	690	413	1063	1044	host	fabF
gene-SERP0292	2124	10516	24751	9199	10916	10719	4122	11885	9336	1809	6464	5516	host	sitA
gene-SERP0367	30	105	51	76	174	93	136	250	339	81	332	515	host	gene-SERP0367
gene-SERP0841	774	2992	2309	4060	4457	2181	3791	6553	3892	1704	3771	3310	host	pnp
gene-SERP1498	245	99	141	231	130	92	150	98	76	63	79	86	host	gene-SERP1498
gene-SERP0981	1951	2653	2047	5497	2965	2652	4083	3613	2505	1622	2060	2108	host	gene-SERP0981
gene-SERP1230	508	590	327	1525	508	578	840	524	448	226	270	311	host	gene-SERP1230
gene-SERP2370	47	22	21	37	24	13	34	27	17	18	22	46	host	gene-SERP2370
gene-SERP0293	323	982	895	1729	1079	911	853	1400	955	504	641	781	host	sirR
gene-SERP1551	3663	4400	3836	8835	6660	9804	5244	9977	6262	2687	3483	3532	host	gene-SERP1551
gene-SERP0384	1833	2809	2440	2866	2885	2453	3117	3733	2485	1209	1889	2616	host	recQ-1
gene-SERP1945	54	68	39	111	120	41	115	203	150	66	245	243	host	gene-SERP1945
gene-SERP1934	387	428	350	651	311	358	343	574	241	114	141	226	host	gene-SERP1934
gene-SERP2357	14	28	11	29	32	24	21	28	22	6	36	21	host	gene-SERP2357
gene-SERP2377	26	15	2	36	15	16	20	10	6	11	20	25	host	gene-SERP2377
gene-SERP1027	858	1355	1214	2121	1468	1115	1259	1708	1284	316	737	752	host	papS
gene-SERP1130	29	100	82	326	271	146	95	271	249	64	207	183	host	gene-SERP1130
gene-SERP2058	520	302	274	557	199	207	230	288	164	438	287	406	host	gntK
gene-SERP2533	4097	4301	3948	5676	3981	3214	5069	5408	2850	2166	2510	2541	host	yycG
gene-SERP0743	4169	12139	10514	8099	11596	11819	3379	10434	6865	1187	5030	3293	host	mraZ
gene-SERP1125	1105	476	677	870	323	609	418	380	367	121	270	361	host	gene-SERP1125
gene-FDH45_gp155	0	0	0	15	50	4	424	50	77	359	232	295	phage	gene-FDH45_gp155
gene-SERP1137	1467	1251	940	2269	851	1241	1374	1037	825	508	536	616	host	gene-SERP1137
gene-SERP0428	552	1357	1298	1461	1025	1378	746	1356	872	234	549	491	host	hprK
gene-SERP0723	48	224	285	237	313	282	115	299	226	49	169	162	host	rnhC
gene-SERP0415	242	562	510	736	569	466	415	939	599	208	586	634	host	gene-SERP0415
gene-SERP1867	0	1	3	7	1	1	3	9	2	2	2	3	host	gene-SERP1867
gene-SERP2480	288	258	112	975	211	283	547	185	235	297	234	228	host	gene-SERP2480
gene-SERP0191	44	91	92	144	79	109	74	89	83	34	53	53	host	gene-SERP0191
gene-SERP0153	291	247	246	1056	321	248	539	551	413	206	222	272	host	folP
gene-SERP2109	3178	2045	2116	4724	1778	1954	3413	2547	1489	1337	1133	1134	host	gene-SERP2109
gene-SERP2127	80	215	185	165	107	202	41	116	47	61	62	81	host	gene-SERP2127
gene-FDH45_gp050	0	0	0	11	4567	1	39896	5632	8831	51377	45789	65624	phage	gene-FDH45_gp050
gene-SERP0378	206	385	328	527	454	297	387	698	451	229	421	540	host	gene-SERP0378
gene-SERP2528	1023	1293	1239	1171	894	1295	710	1031	745	292	590	532	host	gene-SERP2528
gene-SERP0491	5479	1526	1323	3491	758	1527	1431	914	653	449	410	558	host	gene-SERP0491
gene-SERP1490	50026	9832	10359	44182	8779	16058	30421	7172	7494	14418	3432	3705	host	agrB
gene-SERP0625	14	48	31	28	44	18	27	77	46	23	36	21	host	gene-SERP0625
gene-SERP1960	252	436	416	1814	1444	427	1386	1754	1578	708	1654	1651	host	tagF
gene-SERP1982	3641	1233	1157	3461	590	1023	1211	861	593	466	350	515	host	gene-SERP1982
gene-SERP2016	258	449	365	641	516	497	457	657	539	173	518	523	host	gene-SERP2016
gene-SERP0138	932	1301	993	2315	1506	1014	2352	2260	1522	1158	1431	1784	host	prsA
gene-SERP0176	299	572	502	1011	653	512	750	934	668	276	677	793	host	secE
gene-SERP1111	563	673	674	762	650	474	678	960	535	223	412	434	host	gene-SERP1111
gene-SERP0241	26	59	82	167	211	75	142	281	268	115	315	447	host	gene-SERP0241
gene-SERP0025	1808	1809	1679	1329	1077	2743	730	1154	461	461	596	443	host	gene-SERP0025
gene-SERP0806	89	272	158	442	425	213	290	514	386	163	416	411	host	trmD
gene-SERP1655	275	387	257	618	447	362	355	484	385	211	486	533	host	gene-SERP1655
gene-SERP1348	23	15	16	70	18	25	54	17	34	23	34	15	host	gene-SERP1348
gene-SERP1440	208	685	546	646	487	453	573	574	360	256	268	302	host	putP
gene-SERP0303	3097	3089	2595	4214	2425	2628	3320	2910	1713	1385	1741	1750	host	abcA
gene-SERP2378	79	93	52	105	70	81	94	54	45	52	92	79	host	gene-SERP2378
gene-SERP2130	25	23	0	59	13	28	15	19	13	11	30	22	host	gene-SERP2130
gene-SERP0357	1272	1243	1144	1413	911	1452	747	1144	578	635	666	640	host	gene-SERP0357
gene-SERP2526	654	902	937	1329	1109	798	1734	1903	1282	1530	1835	2030	host	gene-SERP2526
gene-SERP0935	385	233	244	2456	477	329	1506	678	763	570	441	745	host	gene-SERP0935
gene-SERP2438	1806	578	475	2143	500	487	1983	676	501	836	580	744	host	gene-SERP2438
gene-FDH45_gp001	0	0	0	188	13576	44	103488	15023	20804	121204	64463	94701	phage	gene-FDH45_gp001
gene-FDH45_gp145	0	0	0	110183	47339	14585	226746	63220	107820	139409	105599	120190	phage	gene-FDH45_gp145
gene-SERP0963	62	141	100	244	157	139	156	176	157	56	80	91	host	lysC
gene-SERP2417	110	205	254	211	172	184	110	183	202	59	125	158	host	gene-SERP2417
gene-SERP1396	179	581	536	962	927	706	458	1036	745	147	493	441	host	gene-SERP1396
gene-SERP0796	446	582	443	553	493	317	655	744	456	361	503	622	host	fabD
gene-SERP_tRNA-Ala-1	0	11	10	11	22	13	10	24	12	3	17	18	host	gene-SERP_tRNA-Ala-1
gene-SERP0152	35828	23874	24604	58189	25834	29391	28353	37697	18901	8868	7714	8388	host	cysK
gene-SERP0570	61	299	182	655	313	373	145	301	263	40	107	115	host	oppB
gene-FDH45_gp097	0	0	0	87	3323	3	30672	1646	5254	34024	17330	23589	phage	gene-FDH45_gp097
gene-FDH45_gp114	0	0	0	12	2393	0	18980	3420	4791	25764	17739	33511	phage	gene-FDH45_gp114
